text,intent,norm,key
"skip how to personalise the sound, do how to change programs instead",Help_ChangingMemories,skip how to personalise the sound do how to change programs instead,change how instead personalise program skip sound
"i am not after what battery size i need, i am after the charge level",Cmd.BatteryLevel,i am not after what battery size i need i am after the charge level,after am battery charge level need not size what
"muted is not what i wanted, louder is",Cmd.VolumeIncrease,muted is not what i wanted louder is,louder mut not want what
"how to make a new program is not what i wanted, a different program is",Cmd.MemoryChange,how to make a new program is not what i wanted a different program is,different how make new not program want what
"streaming stopped is not what i wanted, streaming started is",Cmd.StreamingStart,streaming stopped is not what i wanted streaming started is,not start stopp stream want what
"help with my tv streamer is not what i wanted, streaming started is",Cmd.StreamingStart,help with my tv streamer is not what i wanted streaming started is,help not start stream streamer tv want what with
"my score is not what i wanted, my heart rate recovery is",Help_HeartRateRecovery,my score is not what i wanted my heart rate recovery is,heart not rate recovery score want what
"skip to pair them, do what is new instead",Help_WhatsNew,skip to pair them do what is new instead,instead new pair skip them what
not the tinnitus masker — i meant speech enhancement,Help_IntelliVoice,not the tinnitus masker i meant speech enhancement,enhancement masker meant not speech tinnitu
"i am not after my heart rate recovery, i am after my score",Help_ThriveScore,i am not after my heart rate recovery i am after my score,after am heart not rate recovery score
not my standing time — i meant my calories,Cmd.ActivityCalories,not my standing time i meant my calories,calori meant not stand time
"i am not after how to make a new program, i am after how to personalise the sound",Help_Customize,i am not after how to make a new program i am after how to personalise the sound,after am how make new not personalise program sound
"i am not after my heart rate, i am after my heart rate recovery",Help_HeartRateRecovery,i am not after my heart rate i am after my heart rate recovery,after am heart not rate recovery
"my step count is not what i wanted, my running is",Cmd.ActivityRun,my step count is not what i wanted my running is,count not runn step want what
"i am not after my cycling, i am after my standing time",Cmd.ActivityStand,i am not after my cycling i am after my standing time,after am cycl not stand time
not my aerobics — i meant my standing time,Cmd.ActivityStand,not my aerobics i meant my standing time,aerobic meant not stand time
"how transcribe works is not what i wanted, to transcribe is",Cmd.TranscribeStart,how transcribe works is not what i wanted to transcribe is,how not transcribe want what work
"skip my score, do my activity summary instead",Help_Health,skip my score do my activity summary instead,activity instead score skip summary
"skip how reminders work, do that reminder marked done instead",reminders.complete,skip how reminders work do that reminder marked done instead,done how instead mark reminder skip work
"skip muted, do quieter instead",Cmd.VolumeDecrease,skip muted do quieter instead,instead mut quieter skip
"skip edge mode, do speech enhancement instead",Help_IntelliVoice,skip edge mode do speech enhancement instead,edge enhancement instead mode skip speech
"i am not after my step count, i am after my calories",Cmd.ActivityCalories,i am not after my step count i am after my calories,after am calori count not step
not my activity summary — i meant my score,Help_ThriveScore,not my activity summary i meant my score,activity meant not score summary
"skip the voice assistant, do to pair them instead",Help_Pairing,skip the voice assistant do to pair them instead,assistant instead pair skip them voice
"my aerobics is not what i wanted, my cycling is",Cmd.ActivityCycle,my aerobics is not what i wanted my cycling is,aerobic cycl not want what
not louder — i meant how the volume works,Help_Volume,not louder i meant how the volume works,how louder meant not volume work
"the cros system is not what i wanted, edge mode is",Help_EdgeMode,the cros system is not what i wanted edge mode is,cros edge mode not system want what
"skip the cros system, do speech enhancement instead",Help_IntelliVoice,skip the cros system do speech enhancement instead,cros enhancement instead skip speech system
"i am not after unmuted, i am after louder",Cmd.VolumeIncrease,i am not after unmuted i am after louder,after am louder not unmut
"my cycling is not what i wanted, my workout is",Cmd.ActivityExercise,my cycling is not what i wanted my workout is,cycl not want what workout
"my standing time is not what i wanted, my walking is",Cmd.ActivityWalk,my standing time is not what i wanted my walking is,not stand time walk want what
"skip speech enhancement, do edge mode instead",Help_EdgeMode,skip speech enhancement do edge mode instead,edge enhancement instead mode skip speech
"i am not after my heart rate, i am after my activity summary",Help_Health,i am not after my heart rate i am after my activity summary,activity after am heart not rate summary
not help with my tv streamer — i meant streaming started,Cmd.StreamingStart,not help with my tv streamer i meant streaming started,help meant not start stream streamer tv with
not the basics — i meant the app settings,Help_AppSettings,not the basics i meant the app settings,app basic meant not setting
"i am not after how to personalise the sound, i am after how to make a new program",Help_MemoryOptions,i am not after how to personalise the sound i am after how to make a new program,after am how make new not personalise program sound
"a self check is not what i wanted, how to put them in is",Help_InsertDevice,a self check is not what i wanted how to put them in is,check how in not put self them want what
"to play my messages is not what i wanted, to record a message is",Cmd.SendMessage,to play my messages is not what i wanted to record a message is,messag message not play record want what
not how transcribe works — i meant to transcribe,Cmd.TranscribeStart,not how transcribe works i meant to transcribe,how meant not transcribe work
"i am not after my workout, i am after my standing time",Cmd.ActivityStand,i am not after my workout i am after my standing time,after am not stand time workout
"i am not after how to clean them, i am after a self check",Help_SelfCheck,i am not after how to clean them i am after a self check,after am check clean how not self them
"i am not after a different program, i am after how to personalise the sound",Help_Customize,i am not after a different program i am after how to personalise the sound,after am different how not personalise program sound
not the basics — i meant to pair them,Help_Pairing,not the basics i meant to pair them,basic meant not pair them
"to pair them is not what i wanted, the voice assistant is",Help_VoiceAssistant,to pair them is not what i wanted the voice assistant is,assistant not pair them voice want what
not my workout — i meant my aerobics,Cmd.ActivityAerobics,not my workout i meant my aerobics,aerobic meant not workout
"skip the charge level, do what battery size i need instead",Help_Battery,skip the charge level do what battery size i need instead,battery charge instead level need size skip what
"skip my aerobics, do my step count instead",Cmd.ActivityStep,skip my aerobics do my step count instead,aerobic count instead skip step
"edge mode is not what i wanted, demo mode is",Help_DemoMode,edge mode is not what i wanted demo mode is,demo edge mode not want what
"i am not after what is new, i am after to pair them",Help_Pairing,i am not after what is new i am after to pair them,after am new not pair them what
not my standing time — i meant my cycling,Cmd.ActivityCycle,not my standing time i meant my cycling,cycl meant not stand time
"my aerobics is not what i wanted, my running is",Cmd.ActivityRun,my aerobics is not what i wanted my running is,aerobic not runn want what
"i am not after my calories, i am after my standing time",Cmd.ActivityStand,i am not after my calories i am after my standing time,after am calori not stand time
"the voice assistant is not what i wanted, the basics is",Help_Home,the voice assistant is not what i wanted the basics is,assistant basic not voice want what
"i am not after my activity summary, i am after my score",Help_ThriveScore,i am not after my activity summary i am after my score,activity after am not score summary
"to share my data is not what i wanted, a remote adjustment is",Help_RemoteProgramming,to share my data is not what i wanted a remote adjustment is,adjustment data not remote share want what
not a self check — i meant how to put them in,Help_InsertDevice,not a self check i meant how to put them in,check how in meant not put self them
"skip my standing time, do my aerobics instead",Cmd.ActivityAerobics,skip my standing time do my aerobics instead,aerobic instead skip stand time
"i am not after quieter, i am after unmuted",Cmd.VolumeUnmute,i am not after quieter i am after unmuted,after am not quieter unmut
"skip the tinnitus masker, do mask mode instead",Help_MaskMode,skip the tinnitus masker do mask mode instead,instead mask masker mode skip tinnitu
"i am not after my cycling, i am after my workout",Cmd.ActivityExercise,i am not after my cycling i am after my workout,after am cycl not workout
not louder — i meant unmuted,Cmd.VolumeUnmute,not louder i meant unmuted,louder meant not unmut
"i am not after a different program, i am after how to change programs",Help_ChangingMemories,i am not after a different program i am after how to change programs,after am change different how not program
"skip the tinnitus masker, do speech enhancement instead",Help_IntelliVoice,skip the tinnitus masker do speech enhancement instead,enhancement instead masker skip speech tinnitu
not how to make a new program — i meant how to change programs,Help_ChangingMemories,not how to make a new program i meant how to change programs,change how make meant new not program
not the cros system — i meant edge mode,Help_EdgeMode,not the cros system i meant edge mode,cros edge meant mode not system
"my cycling is not what i wanted, my step count is",Cmd.ActivityStep,my cycling is not what i wanted my step count is,count cycl not step want what
"skip a self check, do how to clean them instead",Help_CleanCare,skip a self check do how to clean them instead,check clean how instead self skip them
"i am not after how the volume works, i am after louder",Cmd.VolumeIncrease,i am not after how the volume works i am after louder,after am how louder not volume work
"i am not after unmuted, i am after muted",Cmd.VolumeMute,i am not after unmuted i am after muted,after am mut not unmut
"i am not after muted, i am after how the volume works",Help_Volume,i am not after muted i am after how the volume works,after am how mut not volume work
not how to make a new program — i meant a different program,Cmd.MemoryChange,not how to make a new program i meant a different program,different how make meant new not program
"i am not after speech enhancement, i am after the cros system",Help_WiCROS,i am not after speech enhancement i am after the cros system,after am cros enhancement not speech system
"the voice assistant is not what i wanted, the app settings is",Help_AppSettings,the voice assistant is not what i wanted the app settings is,app assistant not setting voice want what
"my cycling is not what i wanted, my standing time is",Cmd.ActivityStand,my cycling is not what i wanted my standing time is,cycl not stand time want what
not the basics — i meant the voice assistant,Help_VoiceAssistant,not the basics i meant the voice assistant,assistant basic meant not voice
"skip how to make a new program, do a different program instead",Cmd.MemoryChange,skip how to make a new program do a different program instead,different how instead make new program skip
"the cros system is not what i wanted, demo mode is",Help_DemoMode,the cros system is not what i wanted demo mode is,cros demo mode not system want what
not my step count — i meant my aerobics,Cmd.ActivityAerobics,not my step count i meant my aerobics,aerobic count meant not step
"skip how translate works, do to translate instead",Cmd.TranslationStart,skip how translate works do to translate instead,how instead skip translate work
"the cros system is not what i wanted, the tinnitus masker is",Help_Tinnitus,the cros system is not what i wanted the tinnitus masker is,cros masker not system tinnitu want what
"skip how the volume works, do muted instead",Cmd.VolumeMute,skip how the volume works do muted instead,how instead mut skip volume work
"i am not after my heart rate recovery, i am after my activity summary",Help_Health,i am not after my heart rate recovery i am after my activity summary,activity after am heart not rate recovery summary
"skip how to make a new program, do how to change programs instead",Help_ChangingMemories,skip how to make a new program do how to change programs instead,change how instead make new program skip
"skip the app settings, do the basics instead",Help_Home,skip the app settings do the basics instead,app basic instead setting skip
not muted — i meant unmuted,Cmd.VolumeUnmute,not muted i meant unmuted,meant mut not unmut
"quieter is not what i wanted, how the volume works is",Help_Volume,quieter is not what i wanted how the volume works is,how not quieter volume want what work
not my cycling — i meant my workout,Cmd.ActivityExercise,not my cycling i meant my workout,cycl meant not workout
"skip my calories, do my standing time instead",Cmd.ActivityStand,skip my calories do my standing time instead,calori instead skip stand time
"skip to record a message, do to play my messages instead",Cmd.ListenMessage,skip to record a message do to play my messages instead,instead messag message play record skip
not my heart rate recovery — i meant my score,Help_ThriveScore,not my heart rate recovery i meant my score,heart meant not rate recovery score
"i am not after my walking, i am after my standing time",Cmd.ActivityStand,i am not after my walking i am after my standing time,after am not stand time walk
not my standing time — i meant my workout,Cmd.ActivityExercise,not my standing time i meant my workout,meant not stand time workout
"i am not after the cros system, i am after demo mode",Help_DemoMode,i am not after the cros system i am after demo mode,after am cros demo mode not system
not speech enhancement — i meant edge mode,Help_EdgeMode,not speech enhancement i meant edge mode,edge enhancement meant mode not speech
"skip a self check, do the device settings instead",Help_DeviceSettings,skip a self check do the device settings instead,check device instead self setting skip
not mask mode — i meant edge mode,Help_EdgeMode,not mask mode i meant edge mode,edge mask meant mode not
"skip how to clean them, do a self check instead",Help_SelfCheck,skip how to clean them do a self check instead,check clean how instead self skip them
not mask mode — i meant speech enhancement,Help_IntelliVoice,not mask mode i meant speech enhancement,enhancement mask meant mode not speech
"how translate works is not what i wanted, to translate is",Cmd.TranslationStart,how translate works is not what i wanted to translate is,how not translate want what work
"i am not after how to make a new program, i am after a different program",Cmd.MemoryChange,i am not after how to make a new program i am after a different program,after am different how make new not program
"unmuted is not what i wanted, how the volume works is",Help_Volume,unmuted is not what i wanted how the volume works is,how not unmut volume want what work
"edge mode is not what i wanted, the tinnitus masker is",Help_Tinnitus,edge mode is not what i wanted the tinnitus masker is,edge masker mode not tinnitu want what
"i am not after my hearing aid found, i am after my phone found",Cmd.FindMyPhone,i am not after my hearing aid found i am after my phone found,after aid am found hear not phone
"streaming stopped is not what i wanted, help with my tv streamer is",Help_Accessories,streaming stopped is not what i wanted help with my tv streamer is,help not stopp stream streamer tv want what with
not my heart rate recovery — i meant my activity summary,Help_Health,not my heart rate recovery i meant my activity summary,activity heart meant not rate recovery summary
"my walking is not what i wanted, my step count is",Cmd.ActivityStep,my walking is not what i wanted my step count is,count not step walk want what
"skip a remote appointment, do to share my data instead",Help_HearShare,skip a remote appointment do to share my data instead,appointment data instead remote share skip
"to record a message is not what i wanted, to play my messages is",Cmd.ListenMessage,to record a message is not what i wanted to play my messages is,messag message not play record want what
"i am not after the voice assistant, i am after the basics",Help_Home,i am not after the voice assistant i am after the basics,after am assistant basic not voice
"my standing time is not what i wanted, my cycling is",Cmd.ActivityCycle,my standing time is not what i wanted my cycling is,cycl not stand time want what
"my running is not what i wanted, my step count is",Cmd.ActivityStep,my running is not what i wanted my step count is,count not runn step want what
"skip my workout, do my calories instead",Cmd.ActivityCalories,skip my workout do my calories instead,calori instead skip workout
"my cycling is not what i wanted, my aerobics is",Cmd.ActivityAerobics,my cycling is not what i wanted my aerobics is,aerobic cycl not want what
"that reminder marked done is not what i wanted, a new reminder is",reminders.add,that reminder marked done is not what i wanted a new reminder is,done mark new not reminder want what
"skip what battery size i need, do the charge level instead",Cmd.BatteryLevel,skip what battery size i need do the charge level instead,battery charge instead level need size skip what
"a remote adjustment is not what i wanted, to share my data is",Help_HearShare,a remote adjustment is not what i wanted to share my data is,adjustment data not remote share want what
not my aerobics — i meant my calories,Cmd.ActivityCalories,not my aerobics i meant my calories,aerobic calori meant not
not my calories — i meant my running,Cmd.ActivityRun,not my calories i meant my running,calori meant not runn
not my step count — i meant my standing time,Cmd.ActivityStand,not my step count i meant my standing time,count meant not stand step time
not the device settings — i meant how to put them in,Help_InsertDevice,not the device settings i meant how to put them in,device how in meant not put setting them
not my standing time — i meant my walking,Cmd.ActivityWalk,not my standing time i meant my walking,meant not stand time walk
not demo mode — i meant speech enhancement,Help_IntelliVoice,not demo mode i meant speech enhancement,demo enhancement meant mode not speech
"my calories is not what i wanted, my walking is",Cmd.ActivityWalk,my calories is not what i wanted my walking is,calori not walk want what
"i am not after a self check, i am after how to put them in",Help_InsertDevice,i am not after a self check i am after how to put them in,after am check how in not put self them
"i am not after my step count, i am after my running",Cmd.ActivityRun,i am not after my step count i am after my running,after am count not runn step
"my calories is not what i wanted, my step count is",Cmd.ActivityStep,my calories is not what i wanted my step count is,calori count not step want what
"skip my score, do my heart rate recovery instead",Help_HeartRateRecovery,skip my score do my heart rate recovery instead,heart instead rate recovery score skip
"mask mode is not what i wanted, speech enhancement is",Help_IntelliVoice,mask mode is not what i wanted speech enhancement is,enhancement mask mode not speech want what
"i am not after my aerobics, i am after my cycling",Cmd.ActivityCycle,i am not after my aerobics i am after my cycling,aerobic after am cycl not
"muted is not what i wanted, how the volume works is",Help_Volume,muted is not what i wanted how the volume works is,how mut not volume want what work
"skip what is new, do the voice assistant instead",Help_VoiceAssistant,skip what is new do the voice assistant instead,assistant instead new skip voice what
"i am not after demo mode, i am after speech enhancement",Help_IntelliVoice,i am not after demo mode i am after speech enhancement,after am demo enhancement mode not speech
"i am not after my standing time, i am after my step count",Cmd.ActivityStep,i am not after my standing time i am after my step count,after am count not stand step time
not how to personalise the sound — i meant a different program,Cmd.MemoryChange,not how to personalise the sound i meant a different program,different how meant not personalise program sound
not the charge level — i meant what battery size i need,Help_Battery,not the charge level i meant what battery size i need,battery charge level meant need not size what
not my aerobics — i meant my workout,Cmd.ActivityExercise,not my aerobics i meant my workout,aerobic meant not workout
"skip my calories, do my cycling instead",Cmd.ActivityCycle,skip my calories do my cycling instead,calori cycl instead skip
"skip the app settings, do what is new instead",Help_WhatsNew,skip the app settings do what is new instead,app instead new setting skip what
"skip my walking, do my aerobics instead",Cmd.ActivityAerobics,skip my walking do my aerobics instead,aerobic instead skip walk
"demo mode is not what i wanted, the cros system is",Help_WiCROS,demo mode is not what i wanted the cros system is,cros demo mode not system want what
not a new reminder — i meant how reminders work,Help_Reminder,not a new reminder i meant how reminders work,how meant new not reminder work
"unmuted is not what i wanted, louder is",Cmd.VolumeIncrease,unmuted is not what i wanted louder is,louder not unmut want what
"skip louder, do muted instead",Cmd.VolumeMute,skip louder do muted instead,instead louder mut skip
"i am not after my running, i am after my workout",Cmd.ActivityExercise,i am not after my running i am after my workout,after am not runn workout
not what is new — i meant the app settings,Help_AppSettings,not what is new i meant the app settings,app meant new not setting what
"i am not after the device settings, i am after how to clean them",Help_CleanCare,i am not after the device settings i am after how to clean them,after am clean device how not setting them
"my score is not what i wanted, my heart rate is",Help_HeartRate,my score is not what i wanted my heart rate is,heart not rate score want what
"i am not after how to clean them, i am after the device settings",Help_DeviceSettings,i am not after how to clean them i am after the device settings,after am clean device how not setting them
not how to put them in — i meant a self check,Help_SelfCheck,not how to put them in i meant a self check,check how in meant not put self them
"i am not after my aerobics, i am after my running",Cmd.ActivityRun,i am not after my aerobics i am after my running,aerobic after am not runn
not how to make a new program — i meant how to personalise the sound,Help_Customize,not how to make a new program i meant how to personalise the sound,how make meant new not personalise program sound
"skip my standing time, do my running instead",Cmd.ActivityRun,skip my standing time do my running instead,instead runn skip stand time
"skip my hearing aid found, do my phone found instead",Cmd.FindMyPhone,skip my hearing aid found do my phone found instead,aid found hear instead phone skip
"my heart rate recovery is not what i wanted, my activity summary is",Help_Health,my heart rate recovery is not what i wanted my activity summary is,activity heart not rate recovery summary want what
"skip my calories, do my running instead",Cmd.ActivityRun,skip my calories do my running instead,calori instead runn skip
"i am not after what is new, i am after the basics",Help_Home,i am not after what is new i am after the basics,after am basic new not what
"skip my running, do my standing time instead",Cmd.ActivityStand,skip my running do my standing time instead,instead runn skip stand time
"my running is not what i wanted, my calories is",Cmd.ActivityCalories,my running is not what i wanted my calories is,calori not runn want what
"i am not after to translate, i am after how translate works",Help_Translate,i am not after to translate i am after how translate works,after am how not translate work
"i am not after the tinnitus masker, i am after edge mode",Help_EdgeMode,i am not after the tinnitus masker i am after edge mode,after am edge masker mode not tinnitu
"how to put them in is not what i wanted, how to clean them is",Help_CleanCare,how to put them in is not what i wanted how to clean them is,clean how in not put them want what
"my step count is not what i wanted, my cycling is",Cmd.ActivityCycle,my step count is not what i wanted my cycling is,count cycl not step want what
not mask mode — i meant demo mode,Help_DemoMode,not mask mode i meant demo mode,demo mask meant mode not
"i am not after my running, i am after my cycling",Cmd.ActivityCycle,i am not after my running i am after my cycling,after am cycl not runn
"skip my heart rate, do my heart rate recovery instead",Help_HeartRateRecovery,skip my heart rate do my heart rate recovery instead,heart instead rate recovery skip
"the app settings is not what i wanted, what is new is",Help_WhatsNew,the app settings is not what i wanted what is new is,app new not setting want what
not my aerobics — i meant my walking,Cmd.ActivityWalk,not my aerobics i meant my walking,aerobic meant not walk
"i am not after my aerobics, i am after my calories",Cmd.ActivityCalories,i am not after my aerobics i am after my calories,aerobic after am calori not
"i am not after a self check, i am after the device settings",Help_DeviceSettings,i am not after a self check i am after the device settings,after am check device not self setting
"skip my workout, do my standing time instead",Cmd.ActivityStand,skip my workout do my standing time instead,instead skip stand time workout
"quieter is not what i wanted, unmuted is",Cmd.VolumeUnmute,quieter is not what i wanted unmuted is,not quieter unmut want what
"my aerobics is not what i wanted, my calories is",Cmd.ActivityCalories,my aerobics is not what i wanted my calories is,aerobic calori not want what
"skip how the volume works, do unmuted instead",Cmd.VolumeUnmute,skip how the volume works do unmuted instead,how instead skip unmut volume work
"i am not after my step count, i am after my workout",Cmd.ActivityExercise,i am not after my step count i am after my workout,after am count not step workout
"skip speech enhancement, do mask mode instead",Help_MaskMode,skip speech enhancement do mask mode instead,enhancement instead mask mode skip speech
"i am not after how the volume works, i am after muted",Cmd.VolumeMute,i am not after how the volume works i am after muted,after am how mut not volume work
not my standing time — i meant my aerobics,Cmd.ActivityAerobics,not my standing time i meant my aerobics,aerobic meant not stand time
not to share my data — i meant a remote adjustment,Help_RemoteProgramming,not to share my data i meant a remote adjustment,adjustment data meant not remote share
"louder is not what i wanted, unmuted is",Cmd.VolumeUnmute,louder is not what i wanted unmuted is,louder not unmut want what
"skip my heart rate, do my score instead",Help_ThriveScore,skip my heart rate do my score instead,heart instead rate score skip
"i am not after louder, i am after how the volume works",Help_Volume,i am not after louder i am after how the volume works,after am how louder not volume work
not to pair them — i meant the basics,Help_Home,not to pair them i meant the basics,basic meant not pair them
"the device settings is not what i wanted, how to clean them is",Help_CleanCare,the device settings is not what i wanted how to clean them is,clean device how not setting them want what
not my standing time — i meant my running,Cmd.ActivityRun,not my standing time i meant my running,meant not runn stand time
"i am not after my workout, i am after my calories",Cmd.ActivityCalories,i am not after my workout i am after my calories,after am calori not workout
"i am not after my workout, i am after my running",Cmd.ActivityRun,i am not after my workout i am after my running,after am not runn workout
"i am not after how to make a new program, i am after how to change programs",Help_ChangingMemories,i am not after how to make a new program i am after how to change programs,after am change how make new not program
not quieter — i meant how the volume works,Help_Volume,not quieter i meant how the volume works,how meant not quieter volume work
"my workout is not what i wanted, my step count is",Cmd.ActivityStep,my workout is not what i wanted my step count is,count not step want what workout
"skip my running, do my aerobics instead",Cmd.ActivityAerobics,skip my running do my aerobics instead,aerobic instead runn skip
not my cycling — i meant my aerobics,Cmd.ActivityAerobics,not my cycling i meant my aerobics,aerobic cycl meant not
"i am not after the device settings, i am after a self check",Help_SelfCheck,i am not after the device settings i am after a self check,after am check device not self setting
"i am not after muted, i am after unmuted",Cmd.VolumeUnmute,i am not after muted i am after unmuted,after am mut not unmut
not my score — i meant my activity summary,Help_Health,not my score i meant my activity summary,activity meant not score summary
not how the volume works — i meant quieter,Cmd.VolumeDecrease,not how the volume works i meant quieter,how meant not quieter volume work
"the voice assistant is not what i wanted, to pair them is",Help_Pairing,the voice assistant is not what i wanted to pair them is,assistant not pair them voice want what
"i am not after demo mode, i am after the tinnitus masker",Help_Tinnitus,i am not after demo mode i am after the tinnitus masker,after am demo masker mode not tinnitu
not unmuted — i meant quieter,Cmd.VolumeDecrease,not unmuted i meant quieter,meant not quieter unmut
not how the volume works — i meant louder,Cmd.VolumeIncrease,not how the volume works i meant louder,how louder meant not volume work
"the device settings is not what i wanted, how to put them in is",Help_InsertDevice,the device settings is not what i wanted how to put them in is,device how in not put setting them want what
not my running — i meant my standing time,Cmd.ActivityStand,not my running i meant my standing time,meant not runn stand time
not my calories — i meant my cycling,Cmd.ActivityCycle,not my calories i meant my cycling,calori cycl meant not
"skip my running, do my walking instead",Cmd.ActivityWalk,skip my running do my walking instead,instead runn skip walk
"i am not after quieter, i am after louder",Cmd.VolumeIncrease,i am not after quieter i am after louder,after am louder not quieter
"i am not after my cycling, i am after my aerobics",Cmd.ActivityAerobics,i am not after my cycling i am after my aerobics,aerobic after am cycl not
"my heart rate is not what i wanted, my score is",Help_ThriveScore,my heart rate is not what i wanted my score is,heart not rate score want what
"i am not after how to change programs, i am after how to make a new program",Help_MemoryOptions,i am not after how to change programs i am after how to make a new program,after am change how make new not program
"i am not after my calories, i am after my step count",Cmd.ActivityStep,i am not after my calories i am after my step count,after am calori count not step
"a self check is not what i wanted, the device settings is",Help_DeviceSettings,a self check is not what i wanted the device settings is,check device not self setting want what
"i am not after my workout, i am after my cycling",Cmd.ActivityCycle,i am not after my workout i am after my cycling,after am cycl not workout
not that reminder marked done — i meant a new reminder,reminders.add,not that reminder marked done i meant a new reminder,done mark meant new not reminder
not my aerobics — i meant my cycling,Cmd.ActivityCycle,not my aerobics i meant my cycling,aerobic cycl meant not
"how to change programs is not what i wanted, how to make a new program is",Help_MemoryOptions,how to change programs is not what i wanted how to make a new program is,change how make new not program want what
"i am not after my walking, i am after my aerobics",Cmd.ActivityAerobics,i am not after my walking i am after my aerobics,aerobic after am not walk
"skip my cycling, do my walking instead",Cmd.ActivityWalk,skip my cycling do my walking instead,cycl instead skip walk
not edge mode — i meant speech enhancement,Help_IntelliVoice,not edge mode i meant speech enhancement,edge enhancement meant mode not speech
"i am not after to pair them, i am after what is new",Help_WhatsNew,i am not after to pair them i am after what is new,after am new not pair them what
"speech enhancement is not what i wanted, the cros system is",Help_WiCROS,speech enhancement is not what i wanted the cros system is,cros enhancement not speech system want what
"how to put them in is not what i wanted, a self check is",Help_SelfCheck,how to put them in is not what i wanted a self check is,check how in not put self them want what
"i am not after to record a message, i am after to play my messages",Cmd.ListenMessage,i am not after to record a message i am after to play my messages,after am messag message not play record
"my running is not what i wanted, my walking is",Cmd.ActivityWalk,my running is not what i wanted my walking is,not runn walk want what
"skip my aerobics, do my calories instead",Cmd.ActivityCalories,skip my aerobics do my calories instead,aerobic calori instead skip
not my score — i meant my heart rate,Help_HeartRate,not my score i meant my heart rate,heart meant not rate score
not my calories — i meant my standing time,Cmd.ActivityStand,not my calories i meant my standing time,calori meant not stand time
not a different program — i meant how to change programs,Help_ChangingMemories,not a different program i meant how to change programs,change different how meant not program
"i am not after to play my messages, i am after to record a message",Cmd.SendMessage,i am not after to play my messages i am after to record a message,after am messag message not play record
not to pair them — i meant the app settings,Help_AppSettings,not to pair them i meant the app settings,app meant not pair setting them
"i am not after my calories, i am after my aerobics",Cmd.ActivityAerobics,i am not after my calories i am after my aerobics,aerobic after am calori not
"i am not after mask mode, i am after edge mode",Help_EdgeMode,i am not after mask mode i am after edge mode,after am edge mask mode not
"skip how to personalise the sound, do how to make a new program instead",Help_MemoryOptions,skip how to personalise the sound do how to make a new program instead,how instead make new personalise program skip sound
"how to make a new program is not what i wanted, how to personalise the sound is",Help_Customize,how to make a new program is not what i wanted how to personalise the sound is,how make new not personalise program sound want what
"i am not after my phone found, i am after my hearing aid found",Help_FindMyHearingAids,i am not after my phone found i am after my hearing aid found,after aid am found hear not phone
"i am not after streaming stopped, i am after help with my tv streamer",Help_Accessories,i am not after streaming stopped i am after help with my tv streamer,after am help not stopp stream streamer tv with
not the app settings — i meant to pair them,Help_Pairing,not the app settings i meant to pair them,app meant not pair setting them
not my cycling — i meant my walking,Cmd.ActivityWalk,not my cycling i meant my walking,cycl meant not walk
"i am not after the voice assistant, i am after what is new",Help_WhatsNew,i am not after the voice assistant i am after what is new,after am assistant new not voice what
not what is new — i meant the basics,Help_Home,not what is new i meant the basics,basic meant new not what
"i am not after louder, i am after quieter",Cmd.VolumeDecrease,i am not after louder i am after quieter,after am louder not quieter
"skip to transcribe, do how transcribe works instead",Help_Transcribe,skip to transcribe do how transcribe works instead,how instead skip transcribe work
not the tinnitus masker — i meant demo mode,Help_DemoMode,not the tinnitus masker i meant demo mode,demo masker meant mode not tinnitu
not how the volume works — i meant unmuted,Cmd.VolumeUnmute,not how the volume works i meant unmuted,how meant not unmut volume work
"i am not after my aerobics, i am after my standing time",Cmd.ActivityStand,i am not after my aerobics i am after my standing time,aerobic after am not stand time
"i am not after how the volume works, i am after unmuted",Cmd.VolumeUnmute,i am not after how the volume works i am after unmuted,after am how not unmut volume work
"i am not after streaming stopped, i am after streaming started",Cmd.StreamingStart,i am not after streaming stopped i am after streaming started,after am not start stopp stream
not a self check — i meant the device settings,Help_DeviceSettings,not a self check i meant the device settings,check device meant not self setting
not mask mode — i meant the tinnitus masker,Help_Tinnitus,not mask mode i meant the tinnitus masker,mask masker meant mode not tinnitu
"skip that reminder marked done, do how reminders work instead",Help_Reminder,skip that reminder marked done do how reminders work instead,done how instead mark reminder skip work
not demo mode — i meant edge mode,Help_EdgeMode,not demo mode i meant edge mode,demo edge meant mode not
"i am not after how transcribe works, i am after to transcribe",Cmd.TranscribeStart,i am not after how transcribe works i am after to transcribe,after am how not transcribe work
not the device settings — i meant how to clean them,Help_CleanCare,not the device settings i meant how to clean them,clean device how meant not setting them
not unmuted — i meant muted,Cmd.VolumeMute,not unmuted i meant muted,meant mut not unmut
not quieter — i meant muted,Cmd.VolumeMute,not quieter i meant muted,meant mut not quieter
"skip my aerobics, do my running instead",Cmd.ActivityRun,skip my aerobics do my running instead,aerobic instead runn skip
"skip the basics, do to pair them instead",Help_Pairing,skip the basics do to pair them instead,basic instead pair skip them
not help with my tv streamer — i meant streaming stopped,Cmd.StreamingStop,not help with my tv streamer i meant streaming stopped,help meant not stopp stream streamer tv with
"skip my workout, do my walking instead",Cmd.ActivityWalk,skip my workout do my walking instead,instead skip walk workout
not how to clean them — i meant the device settings,Help_DeviceSettings,not how to clean them i meant the device settings,clean device how meant not setting them
"i am not after my standing time, i am after my workout",Cmd.ActivityExercise,i am not after my standing time i am after my workout,after am not stand time workout
