text,intent,sklearn_prediction,onnx_prediction,sklearn_confidence,onnx_confidence,prediction_match
how can i change the smart assistant settings?,Help_AppSettings,Help_AppSettings,Help_AppSettings,0.44624713,0.4462471306324005,True
set program to music,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99359375,0.9935935139656067,True
thanks for my child when i was a little girl with a grandfather who taught me the heart of my face,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9959462,0.9959464073181152,True
mute memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.91742724,0.9174272418022156,True
"can you hey spec, hello good stats heart. i didn't get that coverage. but the cardboard that was hanging in the fall.",Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9937828,0.9937828779220581,True
turn mask mode off,Help_MaskMode,Default Fallback Intent,Default Fallback Intent,0.88579845,0.885798454284668,True
what's new in this thrive app?,Help_WhatsNew,Help_WhatsNew,Help_WhatsNew,0.88564014,0.8856402039527893,True
self check help,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.96158135,0.9615812301635742,True
where can i find tele here,Help_HearingCareAnywhereConnect,Help_HearingCareAnywhereConnect,Help_HearingCareAnywhereConnect,0.7933266,0.7933266162872314,True
can you turn my left hearing aid on,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.94843704,0.9484367966651917,True
i'm interested in my location,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9869372,0.9869372844696045,True
how is the ipro score calculated?,Help_ThriveScore,Help_ThriveScore,Help_ThriveScore,0.9659354,0.9659352898597717,True
switch program to school,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9923195,0.992319643497467,True
how many steps to my goal,Cmd.ActivityStep,Cmd.ActivityStep,Cmd.ActivityStep,0.83509153,0.8350915908813477,True
help with tinnitus stimulus adjustment on my aid,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9826224,0.9826225638389587,True
can you don't make any noise for a minute,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9928879,0.9928877949714661,True
how do i stop my phone ringing in my,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.65984255,0.6598425507545471,True
how do i delete the remote mic?,Help_Accessories,Help_Accessories,Help_Accessories,0.9662656,0.9662654995918274,True
can you no tv remote in fry's app,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9929167,0.9929167032241821,True
scan options,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.64511,0.6451099514961243,True
change to gym,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9901607,0.9901607036590576,True
set a reminder for 5 minutes,reminders.add,reminders.add,reminders.add,0.98868144,0.9886815547943115,True
how do i change tinnitus levels,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9583537,0.9583536982536316,True
can you remind me to watch,reminders.add,reminders.add,reminders.add,0.992811,0.9928109645843506,True
please create a new reminder,reminders.add,reminders.add,reminders.add,0.98209214,0.9820920825004578,True
speech is too sharp,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.83495295,0.8349530696868896,True
remind me in 15 minutes to go to the bar,reminders.add,reminders.add,reminders.add,0.9898113,0.989811360836029,True
why can't i submit another help request?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.32089403,0.3208940327167511,True
is there a daily reminder option,Help_Reminder,Help_Reminder,Help_Reminder,0.612534,0.6125340461730957,True
can you make things easier to hear?,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.70336944,0.7033693790435791,True
please telephone audio input,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99529546,0.9952955842018127,True
can you set an alarm for 15 minutes,reminders.add,reminders.add,reminders.add,0.71558607,0.7155860662460327,True
please angry orchard beer,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9963653,0.9963656663894653,True
can you program four,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9925357,0.9925358295440674,True
what can i ask?,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9592772,0.9592772126197815,True
can i access the cloud?,Help_HearingCareAnywhereConnect,Help_HearingCareAnywhereConnect,Help_HearingCareAnywhereConnect,0.6454419,0.6454418897628784,True
how to change my health goals?,Help_Health,Help_Health,Help_Health,0.88751084,0.8875110149383545,True
how will i know when my hearing specialist adjusted my aid?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.9745715,0.9745715260505676,True
please i want to create a new memory?,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,0.9221164,0.9221165776252747,True
how do i check to see if my hearing aid is working?,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.9365006,0.9365007281303406,True
hey google turn on the master lamps,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9973521,0.9973523020744324,True
did i hit my step goal,Cmd.ActivityStep,Cmd.ActivityStep,Cmd.ActivityStep,0.8839834,0.8839834928512573,True
can you locate my aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9414651,0.9414650797843933,True
change my hearing aid memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.994372,0.9943718314170837,True
"please i'm just like oh, so that's the point that down.",Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9934,0.993399977684021,True
order a pizza,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99465865,0.9946586489677429,True
please tap and then you see like restaurant where you as a question sure you can set it to different mode so you can hear better,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9946418,0.9946417808532715,True
please alter metal plates myrtle beach storm,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9830064,0.9830061793327332,True
how do i change my mini remote mic?,Help_Accessories,Help_Accessories,Help_Accessories,0.9444243,0.9444242715835571,True
how far have i ran?,Cmd.ActivityRun,Cmd.ActivityRun,Cmd.ActivityRun,0.877504,0.8775038719177246,True
can you change settings to three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9931859,0.9931857585906982,True
can you monthly,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.994802,0.9948018789291382,True
turn up the sound,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.8933332,0.893333375453949,True
how do i turn the volume up,Help_Volume,Help_Volume,Help_Volume,0.91692525,0.916925311088562,True
did i hit my aerobics target,Cmd.ActivityAerobics,Cmd.ActivityAerobics,Cmd.ActivityAerobics,0.88995486,0.8899549841880798,True
total silence please,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,0.8676175,0.867617666721344,True
how to share hearing aid information with my son?,Help_HearShare,Help_HearShare,Help_HearShare,0.9187962,0.9187961220741272,True
message a contact an update,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,0.88135254,0.8813524842262268,True
can you decrease hearing,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.94791317,0.9479129910469055,True
change hearing aids to car,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99270517,0.992705225944519,True
it sounds faint,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.8543909,0.8543909192085266,True
can i create my own custom memory?,Help_MemoryOptions,Help_MemoryOptions,Help_MemoryOptions,0.9179747,0.9179747700691223,True
reminder completed.,reminders.complete,reminders.complete,reminders.complete,0.9441947,0.9441947340965271,True
please remind me at noon,reminders.add,reminders.add,reminders.add,0.9931513,0.9931513071060181,True
good night,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9945697,0.9945699572563171,True
set reminder for 2 p.m.,reminders.add,reminders.add,reminders.add,0.9930211,0.9930209517478943,True
how many calories have i burned today?,Cmd.ActivityCalories,Cmd.ActivityCalories,Cmd.ActivityCalories,0.8832944,0.8832946419715881,True
can you remind me to wash my car,reminders.add,reminders.add,reminders.add,0.99314535,0.993145227432251,True
can you any help you,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9953027,0.995302677154541,True
switch program to outdoors,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9918744,0.9918741583824158,True
what's new in my thrive app?,Help_WhatsNew,Help_WhatsNew,Help_WhatsNew,0.8816185,0.881618320941925,True
how many calories did i use working out,Cmd.ActivityExercise,Cmd.ActivityExercise,Cmd.ActivityExercise,0.8755386,0.8755385875701904,True
switch to noise memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9870072,0.9870073795318604,True
return the sound to my aids,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.7689993,0.7689992189407349,True
"hello, just a hearing aid the volume on my hearing aids. bye. bye.",Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9909107,0.9909107089042664,True
help with the voice assistant,Help_VoiceAssistant,Help_VoiceAssistant,Help_VoiceAssistant,0.96081406,0.9608141183853149,True
explain hearing aid batteries,Help_Battery,Help_Battery,Help_Battery,0.71393067,0.7139307260513306,True
please change to auditorium memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9939731,0.9939728379249573,True
set memory to office,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99037945,0.990379273891449,True
please change to quiet program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9948725,0.9948723912239075,True
how many calories did i burn standing,Cmd.ActivityStand,Cmd.ActivityStand,Cmd.ActivityStand,0.88920724,0.8892072439193726,True
help with white noise adjustments in my aid,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.95965254,0.9596525430679321,True
please change program to crowd,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9948061,0.9948058724403381,True
can you he did just change it,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9956434,0.9956434369087219,True
how do i charge my itc hearing aid?,Help_Battery,Help_Battery,Help_Battery,0.71749693,0.7174969911575317,True
please tell me what my stand goal is,Cmd.ActivityStand,Cmd.ActivityStand,Cmd.ActivityStand,0.9379787,0.9379784464836121,True
can you pairing aids on my thrive app,Help_Pairing,Help_Pairing,Help_Pairing,0.9801824,0.980182409286499,True
can you remind me tomorrow at 9 a.m.,reminders.add,reminders.add,reminders.add,0.99281436,0.9928144216537476,True
please show me the quick guide,Help_WhatsNew,Help_Home,Help_Home,0.5106913,0.5106912851333618,True
can you help with tinnitus stimulus adjustment on my hearing aids,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.9847898,0.9847897291183472,True
how will i know when my professional adjusted my hearing aid?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.9742551,0.9742550849914551,True
how long should a battery last,Help_Battery,Cmd.BatteryLevel,Cmd.BatteryLevel,0.7772055,0.7772055864334106,True
can you change to tinnitus memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99518013,0.9951798915863037,True
calories used today,Cmd.ActivityCalories,Cmd.ActivityCalories,Cmd.ActivityCalories,0.8145287,0.8145288825035095,True
set to car memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9862012,0.9862014651298523,True
remind me to take medicine next thursday at 4 p.m.,reminders.add,reminders.add,reminders.add,0.9918058,0.9918057918548584,True
track this workout,Cmd.ActivityExercise,Cmd.ActivityExercise,Cmd.ActivityExercise,0.7037753,0.7037752270698547,True
please hearing aid is not work,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.9645495,0.9645496010780334,True
aerobic calories,Cmd.ActivityAerobics,Cmd.ActivityAerobics,Cmd.ActivityAerobics,0.77366465,0.7736647725105286,True
how do i turn on demo mode,Help_DemoMode,Help_DemoMode,Help_DemoMode,0.88993526,0.889935314655304,True
jot that down as a reminder,reminders.add,reminders.add,reminders.add,0.8882533,0.8882533311843872,True
please change to program number one,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9945868,0.994586706161499,True
switch to tinnitus memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9921638,0.9921640157699585,True
can you turn on the answer double tap slept here.,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.98943055,0.9894304275512695,True
change program to number two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99306935,0.9930693507194519,True
please change program to auditorium,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9944588,0.9944589138031006,True
how do i change the sound profile,Help_Customize,Help_DeviceSettings,Help_DeviceSettings,0.43222544,0.43222540616989136,True
can you switch on ps4,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9945121,0.9945119619369507,True
quiet it please,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.76883656,0.7688365578651428,True
switch setting to number three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9928658,0.9928656816482544,True
help me with transcribe,Help_Transcribe,Help_Transcribe,Help_Transcribe,0.8545231,0.8545230627059937,True
can you volume up,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.9596555,0.9596556425094604,True
can you turn on the volume,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.8822806,0.8822805881500244,True
how to decrease volume,Help_Volume,Help_Volume,Help_Volume,0.95476127,0.9547611474990845,True
how do i adjust the volume?,Help_Volume,Help_Volume,Help_Volume,0.9607917,0.9607917070388794,True
please heart rate guide,Help_HeartRate,Help_HeartRate,Help_HeartRate,0.85036945,0.8503693342208862,True
please switch memory to school,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9947556,0.9947555661201477,True
please mark my last reminder complete,reminders.complete,reminders.complete,reminders.complete,0.9542771,0.9542770981788635,True
please change to home program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9945661,0.9945662021636963,True
only if it's not a problem for cdl,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99476707,0.9947668313980103,True
the aid won't stay in my ear,Help_InsertDevice,Help_InsertDevice,Help_InsertDevice,0.8786827,0.8786826729774475,True
send one,Cmd.SendMessage,Default Fallback Intent,Default Fallback Intent,0.93299234,0.9329923391342163,True
switch program to personal,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9931249,0.9931250214576721,True
can you maximum loudness,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.94306654,0.9430665373802185,True
please set memory to crowd,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9946818,0.9946818351745605,True
what can i control here,Help_Home,Help_Home,Help_Home,0.7455078,0.7455079555511475,True
change memory to master,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9876922,0.9876921772956848,True
please somebody from motel in boise,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9968239,0.996823787689209,True
what's new in my engage app?,Help_WhatsNew,Help_WhatsNew,Help_WhatsNew,0.8006521,0.8006519675254822,True
i am heading outdoors switch my program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99286795,0.9928677082061768,True
do i need to change my balance control?,Help_WiCROS,Help_WiCROS,Help_WiCROS,0.9126382,0.9126383066177368,True
i want to tell someone my news in a message,Cmd.SendMessage,Cmd.SendMessage,Cmd.SendMessage,0.95010185,0.9501016139984131,True
please play last message,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,0.91090864,0.9109086990356445,True
what are my biking minutes for the week?,Cmd.ActivityCycle,Cmd.ActivityCycle,Cmd.ActivityCycle,0.91061103,0.9106107950210571,True
can you meeting setting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9929635,0.9929636120796204,True
help with the health screen,Help_Health,Help_Health,Help_Health,0.69117916,0.6911792159080505,True
can you switch to pub program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9940983,0.994098424911499,True
remind me to clean hearing aids today,reminders.add,reminders.add,reminders.add,0.9922363,0.9922361969947815,True
belittle friend sharon dell one personal check your music from the others definition only find,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9963936,0.996393620967865,True
tone it down,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.9179469,0.917946994304657,True
tell me what people texted,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,0.6368986,0.6368986368179321,True
please s&s side working,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9956493,0.9956493973731995,True
salat someone is aspect,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99699926,0.9969995021820068,True
track my heart rate,Help_HeartRate,Help_HeartRate,Help_HeartRate,0.85176486,0.851764976978302,True
please change to train,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9935347,0.9935348033905029,True
troubleshoot my hearing aid sound,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.806108,0.8061078190803528,True
where do i see steps and exercise together,Help_Health,Help_Health,Help_Health,0.5722243,0.5722243189811707,True
can the hearing care specialist adjust the hearing aid remotely?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.91186595,0.9118659496307373,True
can you change setting to three,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9931544,0.9931545257568359,True
please write me an example of a sympathy card,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99585307,0.9958527088165283,True
how do i send a request to my specialist,Help_HearingCareAnywhereConnect,Help_RemoteProgramming,Help_RemoteProgramming,0.8820326,0.882032573223114,True
where is the serial number,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.7188043,0.7188042998313904,True
i'm heading into a meeting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9854872,0.9854873418807983,True
explain how to ease tinnitus,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.956978,0.9569780230522156,True
i want absolute quiet,Cmd.VolumeMute,Cmd.VolumeMute,Cmd.VolumeMute,0.5472076,0.5472077131271362,True
can you turn mute off,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.7570003,0.7570004463195801,True
too loudy,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.8672402,0.8672401309013367,True
can you show me my stand goal,Cmd.ActivityStand,Cmd.ActivityStand,Cmd.ActivityStand,0.94558096,0.9455807209014893,True
please and push it down for dramatics,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9937032,0.9937032461166382,True
please change memory to restaurant,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9944449,0.9944449663162231,True
change to mute memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9924712,0.9924713373184204,True
find phone,Cmd.FindMyPhone,Cmd.FindMyPhone,Cmd.FindMyPhone,0.9633534,0.9633535146713257,True
good not seen a lot of fluid on that side,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.98664826,0.9866481423377991,True
i might forget this,reminders.add,reminders.add,reminders.add,0.5132204,0.5132203698158264,True
decrease the right hearing aid,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.966785,0.9667850136756897,True
please help for speech to text,Help_Transcribe,Help_Transcribe,Help_Transcribe,0.84573,0.8457300662994385,True
can you pairing my hearing aids with the thrive app,Help_Pairing,Help_Pairing,Help_Pairing,0.97749525,0.9774952530860901,True
can you set to school program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99501085,0.9950108528137207,True
please remind me to exercise today,reminders.add,reminders.add,reminders.add,0.9882913,0.9882912039756775,True
please change memory to mute,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9926917,0.992691695690155,True
begin live translation,Cmd.TranslationStart,Cmd.TranslationStart,Cmd.TranslationStart,0.7388023,0.7388021945953369,True
can you heart rate user guide,Help_HeartRate,Help_HeartRate,Help_HeartRate,0.8495495,0.8495496511459351,True
how do i change to a different program on my aid?,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.9653333,0.9653334021568298,True
make it stretchy like that,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99382484,0.9938246011734009,True
help my aids sound crackly,Help_DeviceSettings,Help_DeviceSettings,Help_DeviceSettings,0.87664646,0.8766465783119202,True
how do i know if my hearing aids are connected to my thrive app?,Help_Pairing,Help_Pairing,Help_Pairing,0.9512796,0.9512794613838196,True
can you record this meeting,Cmd.TranscribeStart,Cmd.TranscribeStart,Cmd.TranscribeStart,0.74434006,0.7443400621414185,True
please set an alarm for 15 minutes,reminders.add,reminders.add,reminders.add,0.5613184,0.5613184571266174,True
how do i turn on auto alert?,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.91064125,0.9106414914131165,True
how do i adjust my tinnitus noise in the aids?,Help_Tinnitus,Help_Tinnitus,Help_Tinnitus,0.98211634,0.9821162819862366,True
what is thrive translate,Help_Translate,Help_Translate,Help_Translate,0.9104357,0.9104355573654175,True
please i lost my other hearing aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.97170806,0.9717081189155579,True
what are some river cruise options in the united states (1),Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9779695,0.9779694676399231,True
change to school program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9934994,0.9934993982315063,True
how do turn the volume down,Help_Volume,Help_Volume,Help_Volume,0.82389647,0.8238964676856995,True
how do i access intellivoice?,Help_IntelliVoice,Help_IntelliVoice,Help_IntelliVoice,0.85529685,0.8552969694137573,True
dial back the volume,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.88980585,0.8898059129714966,True
how do i decrease the volume in the aids?,Help_Volume,Help_Volume,Help_Volume,0.9731944,0.9731945395469666,True
pairing hearing aids on the thrive app,Help_Pairing,Help_Pairing,Help_Pairing,0.97834706,0.9783471822738647,True
how do i tailor my hearing experience,Help_Customize,Help_Customize,Help_Customize,0.44208688,0.4420868158340454,True
show the last known location of my aids,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9137948,0.9137946963310242,True
please change memory to mask,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9943136,0.9943134784698486,True
how do i pair my hearing aids to my car's bluetooth?,Help_Pairing,Help_Pairing,Help_Pairing,0.974879,0.9748790264129639,True
how do i access self check?,Help_SelfCheck,Help_SelfCheck,Help_SelfCheck,0.9413803,0.9413804411888123,True
can you sweet car,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99666387,0.9966642260551453,True
please switch memory to two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99420655,0.9942066669464111,True
i said other program,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99619377,0.9961939454078674,True
i wonder if i put it in here somewhere,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9924148,0.9924148321151733,True
my iphone is not recognizing my left hearing aids,Help_Pairing,Help_SelfCheck,Help_SelfCheck,0.3115451,0.31154510378837585,True
check my burned calories,Cmd.ActivityCalories,Cmd.ActivityCalories,Cmd.ActivityCalories,0.8377324,0.8377323150634766,True
can you set to auditorium memory,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9948887,0.9948884844779968,True
please help with changing memories on my aid,Help_ChangingMemories,Help_ChangingMemories,Help_ChangingMemories,0.94350547,0.9435054063796997,True
please i don’t hear a difference when i change my balance control,Help_WiCROS,Help_WiCROS,Help_WiCROS,0.72054076,0.7205407619476318,True
please reduce the hearing aid volume,Cmd.VolumeDecrease,Cmd.VolumeDecrease,Cmd.VolumeDecrease,0.9801996,0.9801998734474182,True
change program to television,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9931299,0.9931297898292542,True
please i hear the voice,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99190485,0.9919049143791199,True
set setting to one,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9703072,0.9703072309494019,True
guide me through app settings,Help_AppSettings,Help_AppSettings,Help_AppSettings,0.6980129,0.6980128884315491,True
going for a walk track it for me,Cmd.ActivityWalk,Cmd.ActivityWalk,Cmd.ActivityWalk,0.6314841,0.6314840912818909,True
help me remember to call grandma this evening,reminders.add,reminders.add,reminders.add,0.99023974,0.9902398586273193,True
please remind me to buy shoes in paris,reminders.add,reminders.add,reminders.add,0.99148226,0.9914823770523071,True
can you remember to take medicine today at 5 p.m.,reminders.add,reminders.add,reminders.add,0.99122506,0.9912251234054565,True
calories burned this month,Cmd.ActivityCalories,Cmd.ActivityCalories,Cmd.ActivityCalories,0.7744495,0.7744494080543518,True
quiet setting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9879386,0.9879384636878967,True
can you memory two,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9933515,0.9933515191078186,True
please set a reminder for 1 hour,reminders.add,reminders.add,reminders.add,0.99247897,0.9924790263175964,True
keep this on my radar,reminders.add,reminders.add,reminders.add,0.90375704,0.9037570357322693,True
bring my sound back,Cmd.VolumeUnmute,Cmd.VolumeUnmute,Cmd.VolumeUnmute,0.70748895,0.7074888944625854,True
i just took a seat in a noisy cafe,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.9867487,0.9867486357688904,True
how would i send a manual alert text?,Help_FallAlert,Help_FallAlert,Help_FallAlert,0.9680876,0.9680874943733215,True
give me an overview of the app,Help_Home,Help_WhatsNew,Help_WhatsNew,0.6669551,0.6669551730155945,True
can you theater setting,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99272174,0.9927215576171875,True
translate them into my language,Cmd.TranslationStart,Cmd.TranslationStart,Cmd.TranslationStart,0.7613692,0.7613692879676819,True
my aid keeps popping out,Help_InsertDevice,Help_InsertDevice,Help_InsertDevice,0.8695536,0.8695536255836487,True
can you who has the best chinese food in sioux falls,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.99654895,0.996548593044281,True
please set memory to school,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99400043,0.9940005540847778,True
check cashing,Default Fallback Intent,Default Fallback Intent,Default Fallback Intent,0.9927987,0.9927986264228821,True
turn up the volume on the hearing aid,Cmd.VolumeIncrease,Cmd.VolumeIncrease,Cmd.VolumeIncrease,0.7843796,0.784379780292511,True
can you locate my hearing aid,Help_FindMyHearingAids,Help_FindMyHearingAids,Help_FindMyHearingAids,0.9247436,0.9247435331344604,True
how do i share my information with my wife?,Help_HearShare,Help_HearShare,Help_HearShare,0.85937405,0.8593739867210388,True
can you play last push-to-talk.,Cmd.ListenMessage,Cmd.ListenMessage,Cmd.ListenMessage,0.72080165,0.7208016514778137,True
please switch to work program,Cmd.MemoryChange,Cmd.MemoryChange,Cmd.MemoryChange,0.99382085,0.9938209056854248,True
how do i access translation,Help_Translate,Help_Translate,Help_Translate,0.8537934,0.8537933826446533,True
can my audiologist adjust my hearing aids remotely?,Help_RemoteProgramming,Help_RemoteProgramming,Help_RemoteProgramming,0.9375164,0.937516450881958,True
my device won't sit properly,Help_InsertDevice,Help_DeviceSettings,Help_DeviceSettings,0.34172177,0.341721773147583,True
explain hearing aid maintenance,Help_CleanCare,Help_CleanCare,Help_CleanCare,0.75307226,0.7530722618103027,True
