text,intent,sklearn_prediction,onnx_prediction,prediction_match,sklearn_confidence,onnx_confidence,confidence_diff
message a contact an update,Cmd.SendMessage,21,21,True,0.88135254,0.881353,4.7683716e-07
can you decrease hearing,Cmd.VolumeDecrease,17,17,True,0.94791317,0.94791305,1.1920929e-07
change hearing aids to car,Cmd.MemoryChange,11,11,True,0.99270517,0.99270517,0.0
it sounds faint,Cmd.VolumeIncrease,18,18,True,0.8543909,0.85439116,2.3841858e-07
can i create my own custom memory?,Help_MemoryOptions,42,42,True,0.9179747,0.9179739,8.34465e-07
reminder completed.,reminders.complete,56,56,True,0.9441947,0.9441947,0.0
please remind me at noon,reminders.add,55,55,True,0.9931513,0.9931513,0.0
good night,Default Fallback Intent,21,21,True,0.9945697,0.9945699,1.7881393e-07
set reminder for 2 p.m.,reminders.add,55,55,True,0.9930211,0.99302095,1.1920929e-07
how many calories have i burned today?,Cmd.ActivityCalories,1,1,True,0.8832944,0.8832943,1.1920929e-07
can you remind me to wash my car,reminders.add,55,55,True,0.99314535,0.9931452,1.1920929e-07
can you any help you,Default Fallback Intent,21,21,True,0.9953027,0.9953027,0.0
switch program to outdoors,Cmd.MemoryChange,11,11,True,0.9918744,0.99187404,3.5762787e-07
what's new in my thrive app?,Help_WhatsNew,53,53,True,0.8816185,0.8816185,0.0
how many calories did i use working out,Cmd.ActivityExercise,3,3,True,0.8755386,0.87553865,5.9604645e-08
switch to noise memory,Cmd.MemoryChange,11,11,True,0.9870072,0.9870076,4.172325e-07
return the sound to my aids,Cmd.VolumeUnmute,20,20,True,0.7689993,0.76900065,1.3709068e-06
"hello, just a hearing aid the volume on my hearing aids. bye. bye.",Default Fallback Intent,21,21,True,0.9909107,0.9909107,0.0
help with the voice assistant,Help_VoiceAssistant,51,51,True,0.96081406,0.960814,5.9604645e-08
explain hearing aid batteries,Help_Battery,24,24,True,0.71393067,0.71392995,7.1525574e-07
please change to auditorium memory,Cmd.MemoryChange,11,11,True,0.9939731,0.99397284,2.3841858e-07
set memory to office,Cmd.MemoryChange,11,11,True,0.99037945,0.9903793,1.7881393e-07
please change to quiet program,Cmd.MemoryChange,11,11,True,0.9948725,0.9948724,1.1920929e-07
how many calories did i burn standing,Cmd.ActivityStand,5,5,True,0.88920724,0.88920695,2.9802322e-07
help with white noise adjustments in my aid,Help_Tinnitus,48,48,True,0.95965254,0.9596529,3.5762787e-07
please change program to crowd,Cmd.MemoryChange,11,11,True,0.9948061,0.9948059,2.3841858e-07
can you he did just change it,Default Fallback Intent,21,21,True,0.9956434,0.99564344,5.9604645e-08
how do i charge my itc hearing aid?,Help_Battery,24,24,True,0.71749693,0.7174964,5.364418e-07
please tell me what my stand goal is,Cmd.ActivityStand,5,5,True,0.9379787,0.937979,2.9802322e-07
can you pairing aids on my thrive app,Help_Pairing,43,43,True,0.9801824,0.98018265,2.3841858e-07
can you remind me tomorrow at 9 a.m.,reminders.add,55,55,True,0.99281436,0.9928144,5.9604645e-08
please show me the quick guide,Help_WhatsNew,38,38,True,0.5106913,0.51069087,4.172325e-07
can you help with tinnitus stimulus adjustment on my hearing aids,Help_Tinnitus,48,48,True,0.9847898,0.9847898,0.0
how will i know when my professional adjusted my hearing aid?,Help_RemoteProgramming,45,45,True,0.9742551,0.97425497,1.1920929e-07
how long should a battery last,Help_Battery,8,8,True,0.7772055,0.7772053,2.3841858e-07
can you change to tinnitus memory,Cmd.MemoryChange,11,11,True,0.99518013,0.9951799,2.3841858e-07
calories used today,Cmd.ActivityCalories,1,1,True,0.8145287,0.8145285,1.7881393e-07
set to car memory,Cmd.MemoryChange,11,11,True,0.9862012,0.9862016,3.5762787e-07
remind me to take medicine next thursday at 4 p.m.,reminders.add,55,55,True,0.9918058,0.99180573,5.9604645e-08
track this workout,Cmd.ActivityExercise,3,3,True,0.7037753,0.70377547,1.7881393e-07
please hearing aid is not work,Help_SelfCheck,46,46,True,0.9645495,0.96454966,1.7881393e-07
aerobic calories,Cmd.ActivityAerobics,0,0,True,0.77366465,0.7736637,9.536743e-07
how do i turn on demo mode,Help_DemoMode,28,28,True,0.88993526,0.8899354,1.1920929e-07
jot that down as a reminder,reminders.add,55,55,True,0.8882533,0.88825476,1.4901161e-06
please change to program number one,Cmd.MemoryChange,11,11,True,0.9945868,0.9945868,0.0
switch to tinnitus memory,Cmd.MemoryChange,11,11,True,0.9921638,0.992164,2.3841858e-07
can you turn on the answer double tap slept here.,Default Fallback Intent,21,21,True,0.98943055,0.9894304,1.1920929e-07
change program to number two,Cmd.MemoryChange,11,11,True,0.99306935,0.99306935,0.0
please change program to auditorium,Cmd.MemoryChange,11,11,True,0.9944588,0.994459,1.7881393e-07
how do i change the sound profile,Help_Customize,29,29,True,0.43222544,0.43222553,8.940697e-08
can you switch on ps4,Default Fallback Intent,21,21,True,0.9945121,0.99451196,1.1920929e-07
quiet it please,Cmd.VolumeDecrease,17,17,True,0.76883656,0.76883566,8.940697e-07
switch setting to number three,Cmd.MemoryChange,11,11,True,0.9928658,0.9928657,1.1920929e-07
help me with transcribe,Help_Transcribe,49,49,True,0.8545231,0.854523,1.1920929e-07
can you volume up,Cmd.VolumeIncrease,18,18,True,0.9596555,0.9596557,1.7881393e-07
can you turn on the volume,Cmd.VolumeUnmute,20,20,True,0.8822806,0.8822807,1.1920929e-07
how to decrease volume,Help_Volume,52,52,True,0.95476127,0.95476097,2.9802322e-07
how do i adjust the volume?,Help_Volume,52,52,True,0.9607917,0.96079195,2.3841858e-07
please heart rate guide,Help_HeartRate,36,36,True,0.85036945,0.85036886,5.9604645e-07
please switch memory to school,Cmd.MemoryChange,11,11,True,0.9947556,0.99475557,5.9604645e-08
please mark my last reminder complete,reminders.complete,56,56,True,0.9542771,0.95427704,5.9604645e-08
please change to home program,Cmd.MemoryChange,11,11,True,0.9945661,0.99456614,5.9604645e-08
only if it's not a problem for cdl,Default Fallback Intent,21,21,True,0.99476707,0.99476683,2.3841858e-07
the aid won't stay in my ear,Help_InsertDevice,39,39,True,0.8786827,0.8786828,1.1920929e-07
send one,Cmd.SendMessage,21,21,True,0.93299234,0.9329923,5.9604645e-08
switch program to personal,Cmd.MemoryChange,11,11,True,0.9931249,0.9931251,1.7881393e-07
can you maximum loudness,Cmd.VolumeIncrease,18,18,True,0.94306654,0.94306654,0.0
please set memory to crowd,Cmd.MemoryChange,11,11,True,0.9946818,0.99468184,5.9604645e-08
what can i control here,Help_Home,38,38,True,0.7455078,0.7455067,1.0728836e-06
change memory to master,Cmd.MemoryChange,11,11,True,0.9876922,0.9876924,2.3841858e-07
please somebody from motel in boise,Default Fallback Intent,21,21,True,0.9968239,0.9968238,1.1920929e-07
what's new in my engage app?,Help_WhatsNew,53,53,True,0.8006521,0.8006517,3.5762787e-07
i am heading outdoors switch my program,Cmd.MemoryChange,11,11,True,0.99286795,0.9928677,2.3841858e-07
do i need to change my balance control?,Help_WiCROS,54,54,True,0.9126382,0.9126379,2.9802322e-07
i want to tell someone my news in a message,Cmd.SendMessage,12,12,True,0.95010185,0.95010173,1.1920929e-07
please play last message,Cmd.ListenMessage,10,10,True,0.91090864,0.91090876,1.1920929e-07
what are my biking minutes for the week?,Cmd.ActivityCycle,2,2,True,0.91061103,0.91061056,4.7683716e-07
can you meeting setting,Cmd.MemoryChange,11,11,True,0.9929635,0.99296355,5.9604645e-08
help with the health screen,Help_Health,33,33,True,0.69117916,0.6911793,1.1920929e-07
can you switch to pub program,Cmd.MemoryChange,11,11,True,0.9940983,0.9940985,1.7881393e-07
remind me to clean hearing aids today,reminders.add,55,55,True,0.9922363,0.9922362,1.1920929e-07
belittle friend sharon dell one personal check your music from the others definition only find,Default Fallback Intent,21,21,True,0.9963936,0.9963936,0.0
tone it down,Cmd.VolumeDecrease,17,17,True,0.9179469,0.917947,1.1920929e-07
tell me what people texted,Cmd.ListenMessage,10,10,True,0.6368986,0.63689804,5.364418e-07
please s&s side working,Default Fallback Intent,21,21,True,0.9956493,0.9956494,1.1920929e-07
salat someone is aspect,Default Fallback Intent,21,21,True,0.99699926,0.9969995,2.3841858e-07
track my heart rate,Help_HeartRate,36,36,True,0.85176486,0.85176504,1.7881393e-07
please change to train,Cmd.MemoryChange,11,11,True,0.9935347,0.9935348,1.1920929e-07
troubleshoot my hearing aid sound,Help_DeviceSettings,29,29,True,0.806108,0.806109,1.013279e-06
where do i see steps and exercise together,Help_Health,33,33,True,0.5722243,0.57222354,7.748604e-07
can the hearing care specialist adjust the hearing aid remotely?,Help_RemoteProgramming,45,45,True,0.91186595,0.91186607,1.1920929e-07
can you change setting to three,Cmd.MemoryChange,11,11,True,0.9931544,0.99315447,5.9604645e-08
please write me an example of a sympathy card,Default Fallback Intent,21,21,True,0.99585307,0.9958527,3.5762787e-07
how do i send a request to my specialist,Help_HearingCareAnywhereConnect,45,45,True,0.8820326,0.8820323,2.9802322e-07
where is the serial number,Help_DeviceSettings,29,29,True,0.7188043,0.7188048,4.7683716e-07
i'm heading into a meeting,Cmd.MemoryChange,11,11,True,0.9854872,0.9854873,5.9604645e-08
explain how to ease tinnitus,Help_Tinnitus,48,48,True,0.956978,0.9569782,1.7881393e-07
i want absolute quiet,Cmd.VolumeMute,19,19,True,0.5472076,0.54720765,5.9604645e-08
can you turn mute off,Cmd.VolumeUnmute,20,20,True,0.7570003,0.7570008,4.7683716e-07
too loudy,Cmd.VolumeDecrease,17,17,True,0.8672402,0.86724013,5.9604645e-08
can you show me my stand goal,Cmd.ActivityStand,5,5,True,0.94558096,0.9455812,2.3841858e-07
please and push it down for dramatics,Default Fallback Intent,21,21,True,0.9937032,0.9937032,0.0
please change memory to restaurant,Cmd.MemoryChange,11,11,True,0.9944449,0.99444497,5.9604645e-08
change to mute memory,Cmd.MemoryChange,11,11,True,0.9924712,0.99247134,1.1920929e-07
find phone,Cmd.FindMyPhone,9,9,True,0.9633534,0.9633534,0.0
good not seen a lot of fluid on that side,Default Fallback Intent,21,21,True,0.98664826,0.98664814,1.1920929e-07
i might forget this,reminders.add,55,55,True,0.5132204,0.5132251,4.6491623e-06
decrease the right hearing aid,Cmd.VolumeDecrease,17,17,True,0.966785,0.9667849,1.1920929e-07
please help for speech to text,Help_Transcribe,49,49,True,0.84573,0.8457303,2.9802322e-07
can you pairing my hearing aids with the thrive app,Help_Pairing,43,43,True,0.97749525,0.97749525,0.0
can you set to school program,Cmd.MemoryChange,11,11,True,0.99501085,0.99501073,1.1920929e-07
please remind me to exercise today,reminders.add,55,55,True,0.9882913,0.9882912,1.1920929e-07
please change memory to mute,Cmd.MemoryChange,11,11,True,0.9926917,0.9926917,0.0
begin live translation,Cmd.TranslationStart,16,16,True,0.7388023,0.73880273,4.172325e-07
can you heart rate user guide,Help_HeartRate,36,36,True,0.8495495,0.84954935,1.1920929e-07
how do i change to a different program on my aid?,Help_ChangingMemories,25,25,True,0.9653333,0.9653334,1.1920929e-07
make it stretchy like that,Default Fallback Intent,21,21,True,0.99382484,0.9938246,2.3841858e-07
help my aids sound crackly,Help_DeviceSettings,29,29,True,0.87664646,0.87664634,1.1920929e-07
how do i know if my hearing aids are connected to my thrive app?,Help_Pairing,43,43,True,0.9512796,0.95127904,5.364418e-07
can you record this meeting,Cmd.TranscribeStart,15,15,True,0.74434006,0.7443401,5.9604645e-08
please set an alarm for 15 minutes,reminders.add,55,55,True,0.5613184,0.5613191,7.1525574e-07
how do i turn on auto alert?,Help_FallAlert,31,31,True,0.91064125,0.9106414,1.1920929e-07
how do i adjust my tinnitus noise in the aids?,Help_Tinnitus,48,48,True,0.98211634,0.9821163,5.9604645e-08
what is thrive translate,Help_Translate,50,50,True,0.9104357,0.91043496,7.1525574e-07
please i lost my other hearing aid,Help_FindMyHearingAids,32,32,True,0.97170806,0.9717082,1.1920929e-07
what are some river cruise options in the united states (1),Default Fallback Intent,21,21,True,0.9779695,0.97796947,5.9604645e-08
change to school program,Cmd.MemoryChange,11,11,True,0.9934994,0.9934994,0.0
how do turn the volume down,Help_Volume,52,52,True,0.82389647,0.82389575,7.1525574e-07
how do i access intellivoice?,Help_IntelliVoice,40,40,True,0.85529685,0.8552966,2.3841858e-07
dial back the volume,Cmd.VolumeDecrease,17,17,True,0.88980585,0.8898056,2.3841858e-07
how do i decrease the volume in the aids?,Help_Volume,52,52,True,0.9731944,0.97319466,2.3841858e-07
pairing hearing aids on the thrive app,Help_Pairing,43,43,True,0.97834706,0.97834706,0.0
how do i tailor my hearing experience,Help_Customize,27,27,True,0.44208688,0.44208732,4.4703484e-07
show the last known location of my aids,Help_FindMyHearingAids,32,32,True,0.9137948,0.9137947,1.1920929e-07
please change memory to mask,Cmd.MemoryChange,11,11,True,0.9943136,0.9943135,1.1920929e-07
how do i pair my hearing aids to my car's bluetooth?,Help_Pairing,43,43,True,0.974879,0.97487915,1.1920929e-07
how do i access self check?,Help_SelfCheck,46,46,True,0.9413803,0.9413806,2.9802322e-07
can you sweet car,Default Fallback Intent,21,21,True,0.99666387,0.9966642,3.5762787e-07
please switch memory to two,Cmd.MemoryChange,11,11,True,0.99420655,0.99420667,1.1920929e-07
i said other program,Default Fallback Intent,21,21,True,0.99619377,0.99619395,1.7881393e-07
i wonder if i put it in here somewhere,Default Fallback Intent,21,21,True,0.9924148,0.99241483,5.9604645e-08
my iphone is not recognizing my left hearing aids,Help_Pairing,46,46,True,0.3115451,0.31154504,5.9604645e-08
check my burned calories,Cmd.ActivityCalories,1,1,True,0.8377324,0.83773226,1.1920929e-07
can you set to auditorium memory,Cmd.MemoryChange,11,11,True,0.9948887,0.9948885,2.3841858e-07
please help with changing memories on my aid,Help_ChangingMemories,25,25,True,0.94350547,0.94350505,4.172325e-07
please i don’t hear a difference when i change my balance control,Help_WiCROS,54,54,True,0.72054076,0.7205399,8.34465e-07
please reduce the hearing aid volume,Cmd.VolumeDecrease,17,17,True,0.9801996,0.98019993,3.5762787e-07
change program to television,Cmd.MemoryChange,11,11,True,0.9931299,0.9931298,1.1920929e-07
please i hear the voice,Default Fallback Intent,21,21,True,0.99190485,0.99190485,0.0
set setting to one,Cmd.MemoryChange,11,11,True,0.9703072,0.97030723,5.9604645e-08
guide me through app settings,Help_AppSettings,23,23,True,0.6980129,0.6980128,5.9604645e-08
going for a walk track it for me,Cmd.ActivityWalk,7,7,True,0.6314841,0.6314863,2.2053719e-06
help me remember to call grandma this evening,reminders.add,55,55,True,0.99023974,0.99023986,1.1920929e-07
please remind me to buy shoes in paris,reminders.add,55,55,True,0.99148226,0.9914823,5.9604645e-08
can you remember to take medicine today at 5 p.m.,reminders.add,55,55,True,0.99122506,0.9912251,5.9604645e-08
calories burned this month,Cmd.ActivityCalories,1,1,True,0.7744495,0.7744501,5.9604645e-07
quiet setting,Cmd.MemoryChange,11,11,True,0.9879386,0.98793834,2.3841858e-07
can you memory two,Cmd.MemoryChange,11,11,True,0.9933515,0.9933515,0.0
please set a reminder for 1 hour,reminders.add,55,55,True,0.99247897,0.992479,5.9604645e-08
keep this on my radar,reminders.add,55,55,True,0.90375704,0.90375704,0.0
bring my sound back,Cmd.VolumeUnmute,20,20,True,0.70748895,0.7074888,1.7881393e-07
i just took a seat in a noisy cafe,Cmd.MemoryChange,11,11,True,0.9867487,0.9867487,0.0
how would i send a manual alert text?,Help_FallAlert,31,31,True,0.9680876,0.9680875,1.1920929e-07
give me an overview of the app,Help_Home,53,53,True,0.6669551,0.6669555,3.5762787e-07
can you theater setting,Cmd.MemoryChange,11,11,True,0.99272174,0.99272156,1.7881393e-07
translate them into my language,Cmd.TranslationStart,16,16,True,0.7613692,0.7613702,9.536743e-07
my aid keeps popping out,Help_InsertDevice,39,39,True,0.8695536,0.86955345,1.7881393e-07
can you who has the best chinese food in sioux falls,Default Fallback Intent,21,21,True,0.99654895,0.9965486,3.5762787e-07
please set memory to school,Cmd.MemoryChange,11,11,True,0.99400043,0.99400055,1.1920929e-07
check cashing,Default Fallback Intent,21,21,True,0.9927987,0.9927986,5.9604645e-08
turn up the volume on the hearing aid,Cmd.VolumeIncrease,18,18,True,0.7843796,0.7843804,7.748604e-07
can you locate my hearing aid,Help_FindMyHearingAids,32,32,True,0.9247436,0.9247437,1.1920929e-07
how do i share my information with my wife?,Help_HearShare,34,34,True,0.85937405,0.859374,5.9604645e-08
can you play last push-to-talk.,Cmd.ListenMessage,10,10,True,0.72080165,0.72080016,1.4901161e-06
please switch to work program,Cmd.MemoryChange,11,11,True,0.99382085,0.99382085,0.0
how do i access translation,Help_Translate,50,50,True,0.8537934,0.85379314,2.3841858e-07
can my audiologist adjust my hearing aids remotely?,Help_RemoteProgramming,45,45,True,0.9375164,0.93751615,2.3841858e-07
my device won't sit properly,Help_InsertDevice,29,29,True,0.34172177,0.34172237,5.9604645e-07
explain hearing aid maintenance,Help_CleanCare,26,26,True,0.75307226,0.753072,2.3841858e-07
i'm heading out running,Cmd.ActivityRun,4,4,True,0.6837206,0.6837205,5.9604645e-08
why won't my aids pair,Help_Pairing,43,43,True,0.93525493,0.93525493,0.0
what can i do with the advanced app?,Help_AppSettings,23,23,True,0.7578212,0.75782186,6.556511e-07
the audio sounds distorted,Help_DeviceSettings,29,29,True,0.72168773,0.72168785,1.1920929e-07
what's demo mode,Help_DemoMode,28,28,True,0.8577091,0.8577086,5.364418e-07
how long have i been standing,Cmd.ActivityStand,5,5,True,0.9049013,0.9049013,0.0
how does edge mode improve sound,Help_EdgeMode,30,30,True,0.8401183,0.8401182,5.9604645e-08
location,Default Fallback Intent,21,21,True,0.9793768,0.9793768,0.0
make it softer please,Cmd.VolumeDecrease,17,17,True,0.95283103,0.9528308,2.3841858e-07
help me remember to buy milk,reminders.add,55,55,True,0.98997855,0.98997855,0.0
beam the tv sound to me,Cmd.StreamingStart,13,13,True,0.9226659,0.9226661,1.7881393e-07
please tell me what how much do i owe you is in español,Cmd.TranslationStart,16,16,True,0.88466465,0.8846643,3.5762787e-07
message this contact,Cmd.SendMessage,21,21,True,0.7581862,0.7581874,1.1920929e-06
give me a little more sound,Cmd.VolumeIncrease,18,18,True,0.6918691,0.69186866,4.172325e-07
how do i get a better activity score?,Help_ThriveScore,47,47,True,0.9429369,0.942937,1.1920929e-07
can you i need to disconnect the hearing aids from the phone,Help_Pairing,43,43,True,0.9711533,0.9711533,0.0
can you change to mask mode memory,Cmd.MemoryChange,11,11,True,0.99372816,0.99372804,1.1920929e-07
switch memory to two,Cmd.MemoryChange,11,11,True,0.9916557,0.9916557,0.0
switch memory to home,Cmd.MemoryChange,11,11,True,0.99042237,0.99042225,1.1920929e-07
please mute the hearing aids,Cmd.VolumeMute,19,19,True,0.8779914,0.8779908,5.9604645e-07
when will the batteries run out,Cmd.BatteryLevel,8,8,True,0.7571221,0.7571219,1.7881393e-07
so this is your hearing aids,Default Fallback Intent,21,21,True,0.9957072,0.9957073,5.9604645e-08
can you set to home program,Cmd.MemoryChange,11,11,True,0.99515957,0.99515945,1.1920929e-07
can you remind me at 1 p.m. that i have to eat,reminders.add,55,55,True,0.98948026,0.98948026,0.0
show help guide for wellness,Help_ThriveScore,33,33,True,0.32884675,0.32884726,5.066395e-07
how do i change programs on the hearing aid?,Help_ChangingMemories,25,25,True,0.9579063,0.95790625,5.9604645e-08
how do i enable double tap on my aids?,Help_DeviceSettings,29,29,True,0.8841688,0.88416815,6.556511e-07
track my stroll,Cmd.ActivityWalk,7,7,True,0.85879266,0.85879236,2.9802322e-07
how do i adjust my noise masker on the left aid?,Help_Tinnitus,48,48,True,0.9723002,0.9723002,0.0
how do you calculate the thrive score?,Help_ThriveScore,47,47,True,0.967151,0.967151,0.0
remind me to pick up my prescription wednesday at 5 p.m.,reminders.add,55,55,True,0.9898808,0.9898807,1.1920929e-07
noise setting,Cmd.MemoryChange,11,11,True,0.98221785,0.9822183,4.7683716e-07
i need an adjustment to my hearing aids,Help_RemoteProgramming,45,45,True,0.83460855,0.83460826,2.9802322e-07
what's up today,Default Fallback Intent,21,21,True,0.993026,0.99302554,4.7683716e-07
end streaming,Cmd.StreamingStop,14,14,True,0.9263053,0.9263052,1.1920929e-07
turn my left hearing aid up,Cmd.VolumeIncrease,18,18,True,0.97569543,0.9756956,1.7881393e-07
turn off remote mic streaming,Cmd.StreamingStop,14,14,True,0.53402644,0.53402317,3.2782555e-06
track this ride,Cmd.ActivityCycle,21,21,True,0.40508482,0.40508288,1.937151e-06
new reminder about washing car,reminders.add,55,55,True,0.9588474,0.9588472,1.7881393e-07
help pairing with my phone,Help_Pairing,43,43,True,0.9454762,0.9454763,1.1920929e-07
turn up the volume in my right hearing aid,Cmd.VolumeIncrease,18,18,True,0.9498181,0.94981813,5.9604645e-08
how do i unmute my hearing aids?,Help_Volume,52,52,True,0.95040023,0.95040023,0.0
i have an appointment coming up don't let me miss it,reminders.add,55,55,True,0.9608315,0.9608314,1.1920929e-07
please change program to gym,Cmd.MemoryChange,11,11,True,0.99345386,0.99345374,1.1920929e-07
can you noise program,Cmd.MemoryChange,11,11,True,0.9937615,0.99376154,5.9604645e-08
guide me on changing volume,Help_Volume,52,52,True,0.9653984,0.96539825,1.1920929e-07
what's on the homepage,Help_Home,38,38,True,0.5320521,0.53205174,3.5762787e-07
save the run i just finished,Cmd.ActivityRun,4,4,True,0.84898055,0.84898055,0.0
please set program to office,Cmd.MemoryChange,11,11,True,0.99291855,0.99291855,0.0
set a reminder to pick up prescription today at 5 p.m.,reminders.add,55,55,True,0.9929455,0.9929457,1.7881393e-07
help my aids sound off,Help_DeviceSettings,29,29,True,0.8065985,0.8065978,6.556511e-07
what features does this app have,Help_Home,38,38,True,0.6254162,0.6254167,4.7683716e-07
help me get oriented,Help_Home,38,38,True,0.6066839,0.6066852,1.3113022e-06
please it's too loud turn it down,Cmd.VolumeDecrease,17,17,True,0.9673423,0.9673422,1.1920929e-07
can you find my song,Default Fallback Intent,21,21,True,0.9860248,0.98602444,3.5762787e-07
give me text of this conversation,Cmd.TranscribeStart,15,15,True,0.5341379,0.5341376,2.9802322e-07
i'm in the car now,Cmd.MemoryChange,11,11,True,0.98798996,0.9879899,5.9604645e-08
switch to gym,Cmd.MemoryChange,11,11,True,0.981447,0.981447,0.0
i'm about to exercise,Cmd.ActivityExercise,21,21,True,0.59176904,0.5917684,6.556511e-07
tell me about edge mode,Help_EdgeMode,30,30,True,0.92392814,0.92392796,1.7881393e-07
please show me my step count,Cmd.ActivityStep,6,6,True,0.9185703,0.9185702,5.9604645e-08
can you hearing aid is not work,Help_SelfCheck,46,46,True,0.96658325,0.96658325,0.0
please set program to one,Cmd.MemoryChange,11,11,True,0.99336064,0.99336064,0.0
stop playing the tv through my aids,Cmd.StreamingStop,14,14,True,0.8148681,0.8148708,2.682209e-06
can you i misplaced my hearing aids,Help_FindMyHearingAids,32,32,True,0.9791434,0.97914326,1.1920929e-07
please set memory to outdoors,Cmd.MemoryChange,11,11,True,0.9936028,0.9936029,5.9604645e-08
the tv is on but i miss what they say,Cmd.VolumeIncrease,21,21,True,0.9486743,0.9486743,0.0
remember to take my medicine tuesday morning at 10 a.m.,reminders.add,55,55,True,0.98705673,0.9870566,1.1920929e-07
can my hearing aids handle water,Help_CleanCare,26,26,True,0.6052788,0.60527796,8.34465e-07
what's going on,Default Fallback Intent,21,21,True,0.9920047,0.9920047,0.0
can you want to move up yeah i will,Default Fallback Intent,21,21,True,0.992786,0.9927861,1.1920929e-07
switch your hand sweetheart,Default Fallback Intent,21,21,True,0.9968079,0.9968079,0.0
guide me to my heart rate,Help_HeartRate,36,36,True,0.87646306,0.87646353,4.7683716e-07
change memory to tinnitus,Cmd.MemoryChange,11,11,True,0.99196905,0.9919688,2.3841858e-07
write a program in switch,Default Fallback Intent,21,21,True,0.99420553,0.9942054,1.1920929e-07
can you raise the volume up,Cmd.VolumeIncrease,18,18,True,0.9690196,0.96901965,5.9604645e-08
please heart rate recovery guide,Help_HeartRateRecovery,37,37,True,0.92154443,0.9215443,1.1920929e-07
can you locate my hearing aids?,Help_FindMyHearingAids,32,32,True,0.9795792,0.9795791,1.1920929e-07
calories biking,Cmd.ActivityCycle,2,2,True,0.92462456,0.9246246,5.9604645e-08
can you turn off cable,Default Fallback Intent,21,21,True,0.995207,0.995207,0.0
can you set memory to three,Cmd.MemoryChange,11,11,True,0.99255437,0.99255425,1.1920929e-07
please change to outdoors program,Cmd.MemoryChange,11,11,True,0.9940779,0.9940778,1.1920929e-07
switch to car program,Cmd.MemoryChange,11,11,True,0.99345946,0.99345976,2.9802322e-07
can i compare the adjustments made by my hearing care specialist?,Help_RemoteProgramming,45,45,True,0.96355236,0.9635522,1.7881393e-07
it was discouraging and then i found balance of nature it's just being a no-brainer ever since i feel good,Default Fallback Intent,21,21,True,0.99192655,0.99192655,0.0
what are the main things i can do,Help_Home,38,38,True,0.54930526,0.5493053,5.9604645e-08
please i lost my hearing aids. can you help me find them?,Help_FindMyHearingAids,32,32,True,0.9826789,0.98267883,5.9604645e-08
pub setting,Cmd.MemoryChange,11,11,True,0.99088913,0.99088913,0.0
how do i know if an alert text message is sent?,Help_FallAlert,31,31,True,0.9606909,0.96069086,5.9604645e-08
can you remind me,reminders.add,55,55,True,0.992698,0.99269795,5.9604645e-08
can you remind me to wash the car,reminders.add,55,55,True,0.9934321,0.993432,1.1920929e-07
when is memorial day,Default Fallback Intent,21,21,True,0.9905998,0.9905999,5.9604645e-08
how to invite my son to hearshare?,Help_HearShare,34,34,True,0.96122164,0.96122175,1.1920929e-07
please help with the main screen,Help_Home,38,38,True,0.8298908,0.82989085,5.9604645e-08
help with intellivoice,Help_IntelliVoice,40,40,True,0.94164515,0.94164467,4.7683716e-07
kid pushes the top button real quick and let it go the volume goes up,Default Fallback Intent,21,21,True,0.95845366,0.9584538,1.1920929e-07
why is my left hearing aids not working,Help_SelfCheck,46,46,True,0.9361772,0.93617696,2.3841858e-07
nudge me about this later,reminders.add,55,55,True,0.97120184,0.9712022,3.5762787e-07
please set to school memory,Cmd.MemoryChange,11,11,True,0.99439263,0.9943925,1.1920929e-07
switch memory to car,Cmd.MemoryChange,11,11,True,0.989398,0.9893982,1.7881393e-07
can you let me hear the remote mic,Cmd.StreamingStart,13,13,True,0.7177532,0.7177542,1.013279e-06
can you i don't remember i don't remember this being such a big fish,Default Fallback Intent,21,21,True,0.99536055,0.99536043,1.1920929e-07
does it spot a fall and alert someone,Help_FallAlert,31,31,True,0.9254624,0.9254625,5.9604645e-08
can i compare the adjustments made by my hearing specialist?,Help_RemoteProgramming,45,45,True,0.9682871,0.96828705,5.9604645e-08
upkeep for my hearing aids,Help_CleanCare,21,21,True,0.55935514,0.5593573,2.1457672e-06
please change to golf program,Cmd.MemoryChange,11,11,True,0.9941299,0.9941298,1.1920929e-07
how do i change to another program on the aids?,Help_ChangingMemories,25,25,True,0.96524805,0.9652483,2.3841858e-07
share my news with a contact by text,Cmd.SendMessage,12,12,True,0.88639855,0.8863985,5.9604645e-08
how do i customize my hearing aid?,Help_Customize,27,27,True,0.9342429,0.93424267,2.3841858e-07
how do i get to swimsuits,Default Fallback Intent,21,21,True,0.9924184,0.99241805,3.5762787e-07
turn mute off,Cmd.VolumeUnmute,20,20,True,0.51657873,0.51657623,2.503395e-06
please locate my right hearing aid,Help_FindMyHearingAids,32,32,True,0.93563074,0.9356306,1.1920929e-07
change to meeting,Cmd.MemoryChange,11,11,True,0.99203086,0.9920306,2.3841858e-07
please set program to automatic,Cmd.MemoryChange,11,11,True,0.99365294,0.9936532,2.3841858e-07
please decrease the loudness in my aids,Cmd.VolumeDecrease,17,17,True,0.98591936,0.98591924,1.1920929e-07
please play my last message,Cmd.ListenMessage,10,10,True,0.93399596,0.93399614,1.7881393e-07
can you tone change,Help_DeviceSettings,11,11,True,0.76920265,0.7692009,1.7285347e-06
