text,intent,prediction,confidence,correct,critical
make a new reminder,reminders.task.create,reminders.task.create,0.97920954,True,False
create an entry in my reminders,reminders.task.create,reminders.task.create,0.8891678,True,False
set something to remind me tomorrow,reminders.task.create,reminders.task.create,0.9860491,True,False
add a reminder for the weekend,reminders.task.create,reminders.task.create,0.98540753,True,False
schedule a new reminder,reminders.task.create,reminders.task.create,0.98037624,True,False
please create a reminder,reminders.task.create,reminders.task.create,0.97840047,True,False
put this on my reminder list,reminders.task.create,reminders.task.create,0.7682814,True,False
remind me to buy groceries,reminders.task.create,reminders.task.create,0.96677834,True,False
add an appointment reminder,reminders.task.create,reminders.task.create,0.98074543,True,False
create a reminder for the morning,reminders.task.create,reminders.task.create,0.9873382,True,False
set a reminder for later today,reminders.task.create,reminders.task.create,0.9877279,True,False
make sure I get a reminder about this,reminders.task.create,reminders.task.create,0.9622751,True,False
add this as a reminder,reminders.task.create,reminders.task.create,0.9786956,True,False
schedule something in reminders,reminders.task.create,reminders.task.create,0.9540278,True,False
create a reminder to charge the phone,reminders.task.create,reminders.task.create,0.9822289,True,False
set a reminder for my medication time,reminders.task.create,reminders.task.create,0.96477383,True,False
add a new reminder for tomorrow,reminders.task.create,reminders.task.create,0.9820176,True,False
remind me to send the email,reminders.task.create,reminders.task.create,0.9789787,True,False
make a reminder for Friday,reminders.task.create,reminders.task.create,0.9891769,True,False
create a reminder entry,reminders.task.create,reminders.task.create,0.98224914,True,False
schedule a reminder for my task,reminders.task.create,reminders.task.create,0.9822464,True,False
set up a reminder for the appointment,reminders.task.create,reminders.task.create,0.986212,True,False
add this task to reminders,reminders.task.create,reminders.task.create,0.8380056,True,False
create a new scheduled reminder,reminders.task.create,reminders.task.create,0.9828567,True,False
remind me about my call,reminders.task.create,reminders.task.create,0.9701708,True,False
put a reminder in place,reminders.task.create,reminders.task.create,0.9865406,True,False
set a reminder so I remember,reminders.task.create,reminders.task.create,0.9838695,True,False
add another reminder,reminders.task.create,reminders.task.create,0.97763306,True,False
create a reminder for tonight,reminders.task.create,reminders.task.create,0.9853286,True,False
schedule my reminder,reminders.task.create,reminders.task.create,0.9742424,True,False
make a reminder for the afternoon,reminders.task.create,reminders.task.create,0.9876808,True,False
remind me to check the oven,reminders.task.create,reminders.task.create,0.96774787,True,False
add a reminder for an upcoming task,reminders.task.create,reminders.task.create,0.973927,True,False
create a reminder about the trip,reminders.task.create,reminders.task.create,0.9794717,True,False
set one for tomorrow morning,reminders.task.create,reminders.task.create,0.96266943,True,False
put this into my reminder schedule,reminders.task.create,reminders.task.create,0.9793768,True,False
make a new reminder entry,reminders.task.create,reminders.task.create,0.9773521,True,False
add a reminder for next month,reminders.task.create,reminders.task.create,0.989097,True,False
create a reminder to call home,reminders.task.create,reminders.task.create,0.9779196,True,False
schedule something as a reminder,reminders.task.create,reminders.task.create,0.9895946,True,False
set up a new reminder,reminders.task.create,reminders.task.create,0.9847072,True,False
mark my current reminder as done,reminders.task.complete,reminders.task.complete,0.9874249,True,False
finish the reminder I just handled,reminders.task.complete,reminders.task.complete,0.9267759,True,False
dismiss the reminder that is completed,reminders.task.complete,reminders.task.complete,0.9655664,True,False
check off my latest reminder,reminders.task.complete,reminders.task.complete,0.98424006,True,False
clear the reminder I finished,reminders.task.complete,reminders.task.complete,0.9489386,True,False
mark that reminder complete,reminders.task.complete,reminders.task.complete,0.98946065,True,False
remove the reminder I have already done,reminders.task.complete,reminders.task.complete,0.8835189,True,False
complete my pending reminder,reminders.task.complete,reminders.task.complete,0.9905089,True,False
close out the reminder I finished,reminders.task.complete,reminders.task.complete,0.96449286,True,False
mark the task behind the reminder as complete,reminders.task.complete,reminders.task.complete,0.9852985,True,False
"I've done it, complete that reminder",reminders.task.complete,reminders.task.complete,0.9616201,True,False
dismiss my completed reminder,reminders.task.complete,reminders.task.complete,0.9848969,True,False
check that reminder off my list,reminders.task.complete,reminders.task.complete,0.9843663,True,False
finish the active reminder,reminders.task.complete,reminders.task.complete,0.975805,True,False
mark the reminder as completed,reminders.task.complete,reminders.task.complete,0.9908731,True,False
clear my finished reminder,reminders.task.complete,reminders.task.complete,0.9824683,True,False
complete the reminder task,reminders.task.complete,reminders.task.complete,0.9865079,True,False
remove the reminder after finishing it,reminders.task.complete,reminders.task.complete,0.76584065,True,False
close the reminder I completed,reminders.task.complete,reminders.task.complete,0.95986295,True,False
mark my reminder done,reminders.task.complete,reminders.task.complete,0.9904081,True,False
"I finished that task, clear its reminder",reminders.task.complete,reminders.task.complete,0.79968184,True,False
complete my latest reminder,reminders.task.complete,reminders.task.complete,0.9844639,True,False
dismiss the reminder I no longer need,reminders.task.complete,reminders.task.complete,0.8265118,True,False
check off the task I was reminded about,reminders.task.complete,reminders.task.complete,0.7550111,True,False
mark that reminder as finished,reminders.task.complete,reminders.task.complete,0.98949665,True,False
clear the completed reminder,reminders.task.complete,reminders.task.complete,0.9789185,True,False
finish the reminder task,reminders.task.complete,reminders.task.complete,0.9823757,True,False
complete the active reminder,reminders.task.complete,reminders.task.complete,0.9866143,True,False
remove the reminder I just completed,reminders.task.complete,reminders.task.complete,0.7476939,True,False
mark this reminder done,reminders.task.complete,reminders.task.complete,0.9843203,True,False
dismiss my current reminder,reminders.task.complete,reminders.task.complete,0.9791982,True,False
check off my reminder,reminders.task.complete,reminders.task.complete,0.98573583,True,False
finish the reminder that's pending,reminders.task.complete,reminders.task.complete,0.9222943,True,False
complete that reminder now,reminders.task.complete,reminders.task.complete,0.97412646,True,False
clear the reminder I handled,reminders.task.complete,reminders.task.complete,0.9289629,True,False
mark my outstanding reminder complete,reminders.task.complete,reminders.task.complete,0.98902076,True,False
close my completed reminder,reminders.task.complete,reminders.task.complete,0.9831889,True,False
finish my active reminder,reminders.task.complete,reminders.task.complete,0.9787248,True,False
complete the reminder I just dealt with,reminders.task.complete,reminders.task.complete,0.94340456,True,False
remove my finished reminder,reminders.task.complete,reminders.task.complete,0.96600723,True,False
mark the current reminder as completed,reminders.task.complete,reminders.task.complete,0.9871313,True,False
dismiss the reminder after completing it,reminders.task.complete,reminders.task.complete,0.97221667,True,False
check the reminder off as done,reminders.task.complete,reminders.task.complete,0.9829385,True,False
complete my pending reminder task,reminders.task.complete,reminders.task.complete,0.9886723,True,False
clear the task reminder I finished,reminders.task.complete,reminders.task.complete,0.97271436,True,False
mark that item complete,reminders.task.complete,reminders.task.complete,0.9837145,True,False
finish this reminder,reminders.task.complete,reminders.task.complete,0.9745473,True,False
remove the completed reminder,reminders.task.complete,reminders.task.complete,0.9718472,True,False
complete the current reminder,reminders.task.complete,reminders.task.complete,0.97990936,True,False
close out this reminder,reminders.task.complete,reminders.task.complete,0.9766632,True,False
mark the reminder finished,reminders.task.complete,reminders.task.complete,0.9889135,True,False
clear my completed task reminder,reminders.task.complete,reminders.task.complete,0.98507315,True,False
check off the current reminder,reminders.task.complete,reminders.task.complete,0.9857216,True,False
complete the reminder item,reminders.task.complete,reminders.task.complete,0.986043,True,False
send audio from my phone to the hearing aids,streaming.session.start,streaming.session.start,0.9752898,True,False
start streaming music into my hearing aids,streaming.session.start,streaming.session.start,0.98829275,True,False
connect the laptop audio to my devices,streaming.session.start,streaming.session.start,0.986973,True,False
play my tablet sound through the hearing aids,streaming.session.start,streaming.session.start,0.9549779,True,False
route the phone's audio to my hearing aids,streaming.session.start,streaming.session.start,0.98244345,True,False
begin streaming from my mobile,streaming.session.start,streaming.session.start,0.97762156,True,False
let me hear the TV through my hearing aids,streaming.session.start,streaming.session.start,0.97132576,True,False
start an audio connection with my phone,streaming.session.start,streaming.session.start,0.98050356,True,False
stream sound from the computer,streaming.session.start,streaming.session.start,0.9833988,True,False
connect my hearing aids to the television audio,streaming.session.start,streaming.session.start,0.9848599,True,False
start sending media audio to my devices,streaming.session.start,streaming.session.start,0.9770024,True,False
play the phone through my hearing aids,streaming.session.start,streaming.session.start,0.9653374,True,False
begin streaming from the laptop,streaming.session.start,streaming.session.start,0.98405105,True,False
route music into my hearing aids,streaming.session.start,streaming.session.start,0.92652816,True,False
connect to my tablet for audio,streaming.session.start,streaming.session.start,0.9828851,True,False
start the streaming session,streaming.session.start,streaming.session.start,0.98513585,True,False
send the computer sound to my hearing aids,streaming.session.start,streaming.session.start,0.9304548,True,False
play TV audio through the devices,streaming.session.start,streaming.session.start,0.9760367,True,False
start streaming from my smartphone,streaming.session.start,streaming.session.start,0.98157805,True,False
connect my hearing aids to the media source,streaming.session.start,streaming.session.start,0.9783489,True,False
begin routing audio from the phone,streaming.session.start,streaming.session.start,0.93375295,True,False
stream the laptop's sound to my devices,streaming.session.start,streaming.session.start,0.9746268,True,False
let the hearing aids receive TV audio,streaming.session.start,streaming.session.start,0.93071234,True,False
start a connection for media sound,streaming.session.start,streaming.session.start,0.97868836,True,False
send music directly to my hearing aids,streaming.session.start,streaming.session.start,0.9722853,True,False
begin audio streaming,streaming.session.start,streaming.session.start,0.9878946,True,False
connect the hearing aids for streaming,streaming.session.start,streaming.session.start,0.9880592,True,False
route my tablet audio to the devices,streaming.session.start,streaming.session.start,0.9781075,True,False
start playing phone audio through the hearing aids,streaming.session.start,streaming.session.start,0.97189057,True,False
stream audio from my computer,streaming.session.start,streaming.session.start,0.9890961,True,False
connect to the TV audio,streaming.session.start,streaming.session.start,0.98626035,True,False
begin streaming media to the hearing aids,streaming.session.start,streaming.session.start,0.98515224,True,False
start routing sound from my phone,streaming.session.start,streaming.session.start,0.94824034,True,False
play the computer audio through my devices,streaming.session.start,streaming.session.start,0.97399217,True,False
establish the audio stream,streaming.session.start,streaming.session.stop,0.48995158,False,False
start sending sound to the hearing aids,streaming.session.start,streaming.session.start,0.9694341,True,False
connect my phone for streaming,streaming.session.start,streaming.session.start,0.9743853,True,False
begin the media audio connection,streaming.session.start,streaming.session.start,0.9854037,True,False
stream sound from the television,streaming.session.start,streaming.session.start,0.98165375,True,False
route audio from my laptop,streaming.session.start,streaming.session.start,0.979625,True,False
start streaming from my tablet,streaming.session.start,streaming.session.start,0.9883952,True,False
send TV sound into the hearing aids,streaming.session.start,streaming.session.start,0.92743254,True,False
open the audio stream,streaming.session.start,streaming.session.start,0.96327454,True,False
connect the devices to my phone audio,streaming.session.start,streaming.session.start,0.9705738,True,False
start streaming the media,streaming.session.start,streaming.session.start,0.9837398,True,False
begin playing audio through the hearing aids,streaming.session.start,streaming.session.start,0.97477055,True,False
route music from my smartphone,streaming.session.start,streaming.session.start,0.4881681,True,False
start the hearing aid streaming connection,streaming.session.start,streaming.session.start,0.9902947,True,False
connect my laptop audio,streaming.session.start,streaming.session.start,0.98167014,True,False
begin streaming from the TV,streaming.session.start,streaming.session.start,0.9863468,True,False
send media sound to my hearing aids,streaming.session.start,streaming.session.start,0.9357126,True,False
start an audio stream from the phone,streaming.session.start,streaming.session.start,0.97407985,True,False
route my computer's sound to the devices,streaming.session.start,streaming.session.start,0.8970877,True,False
connect for audio streaming,streaming.session.start,streaming.session.start,0.98851657,True,False
stop sending audio to my hearing aids,streaming.session.stop,streaming.session.stop,0.8701202,True,False
end the current streaming session,streaming.session.stop,streaming.session.stop,0.97016597,True,False
disconnect the phone audio,streaming.session.stop,streaming.session.stop,0.9703279,True,False
stop streaming from my laptop,streaming.session.stop,streaming.session.stop,0.993509,True,False
end the media connection,streaming.session.stop,streaming.session.stop,0.9861665,True,False
disconnect my hearing aids from the TV audio,streaming.session.stop,streaming.session.stop,0.9697054,True,False
stop the audio stream,streaming.session.stop,streaming.session.stop,0.99024266,True,False
turn off the current streaming connection,streaming.session.stop,streaming.session.stop,0.9876457,True,True
end streaming now,streaming.session.stop,streaming.session.stop,0.9589519,True,False
stop routing sound from the phone,streaming.session.stop,streaming.session.stop,0.9528637,True,False
disconnect the tablet audio,streaming.session.stop,streaming.session.stop,0.9722631,True,False
finish the current streaming session,streaming.session.stop,streaming.session.stop,0.8938531,True,False
stop sending media sound to the devices,streaming.session.stop,device.volume.mute,0.6714528,False,False
disconnect the laptop from my hearing aids,streaming.session.stop,streaming.session.stop,0.9670072,True,False
end the audio stream,streaming.session.stop,streaming.session.stop,0.9721582,True,False
stop streaming music,streaming.session.stop,streaming.session.stop,0.99099004,True,False
break the current audio connection,streaming.session.stop,streaming.session.start,0.4594269,False,False
disconnect the hearing aids from the phone,streaming.session.stop,streaming.session.stop,0.96316093,True,False
stop the TV audio stream,streaming.session.stop,streaming.session.stop,0.99022305,True,False
close the streaming session,streaming.session.stop,streaming.session.stop,0.93403804,True,False
end the connection carrying audio,streaming.session.stop,streaming.session.stop,0.9653014,True,False
stop routing the computer sound,streaming.session.stop,streaming.session.stop,0.82778305,True,False
disconnect from the media source,streaming.session.stop,streaming.session.stop,0.98363227,True,False
finish streaming,streaming.session.stop,streaming.session.stop,0.9543292,True,False
stop the audio coming from my phone,streaming.session.stop,streaming.session.stop,0.96338814,True,False
end the current media stream,streaming.session.stop,streaming.session.stop,0.9816441,True,False
disconnect the hearing aids from the laptop,streaming.session.stop,streaming.session.stop,0.9601864,True,False
stop the streaming connection,streaming.session.stop,streaming.session.stop,0.99475586,True,False
turn off audio streaming,streaming.session.stop,streaming.session.stop,0.9766865,True,True
end the phone audio connection,streaming.session.stop,streaming.session.stop,0.9717026,True,False
stop sending TV sound,streaming.session.stop,streaming.session.stop,0.82084185,True,False
disconnect the tablet from the hearing aids,streaming.session.stop,streaming.session.stop,0.9668883,True,False
close the audio stream,streaming.session.stop,streaming.session.stop,0.96722245,True,False
finish the streaming session,streaming.session.stop,streaming.session.stop,0.9419722,True,False
stop media audio,streaming.session.stop,streaming.session.stop,0.9604908,True,False
break the streaming link,streaming.session.stop,streaming.session.start,0.9530361,False,False
disconnect the computer audio,streaming.session.stop,streaming.session.stop,0.967599,True,False
stop the current stream,streaming.session.stop,streaming.session.stop,0.99268335,True,False
end audio streaming,streaming.session.stop,streaming.session.stop,0.97692454,True,False
remove the active streaming connection,streaming.session.stop,streaming.session.stop,0.9786791,True,False
stop routing sound to my devices,streaming.session.stop,device.volume.mute,0.6054941,False,False
disconnect from the TV,streaming.session.stop,streaming.session.stop,0.9873675,True,False
finish the current audio connection,streaming.session.stop,streaming.session.stop,0.9326936,True,False
stop the phone stream,streaming.session.stop,streaming.session.stop,0.99219745,True,False
close the media connection,streaming.session.stop,streaming.session.stop,0.99131644,True,False
end streaming from the laptop,streaming.session.stop,streaming.session.stop,0.99026614,True,False
disconnect the audio source,streaming.session.stop,streaming.session.stop,0.9585261,True,False
stop streaming to the hearing aids,streaming.session.stop,streaming.session.stop,0.9774645,True,False
terminate the active audio stream,streaming.session.stop,streaming.session.stop,0.93981594,True,False
disconnect my phone audio,streaming.session.stop,streaming.session.stop,0.97387105,True,False
end the hearing aid streaming session,streaming.session.stop,streaming.session.stop,0.92093784,True,False
stop the media connection,streaming.session.stop,streaming.session.stop,0.9922117,True,False
close the current stream,streaming.session.stop,streaming.session.stop,0.94018114,True,False
disconnect from the laptop audio,streaming.session.stop,streaming.session.stop,0.980825,True,False
finish audio streaming,streaming.session.stop,streaming.session.stop,0.89759225,True,False
