text,intent,source,rejected_intent,family,held_out,symptom,axis,role
"forget how to put them in, i need a self check",Help_SelfCheck,F11_corrective_all_families,Help_InsertDevice,care,False,,,
"do not give me to pair them, give me the basics",Help_Home,F11_corrective_all_families,Help_Pairing,app,False,,,
"i said how to make a new program, not how to change programs",Help_MemoryOptions,F11_corrective_all_families,Help_ChangingMemories,memory,False,,,
"unmuted please, not how the volume works",Cmd.VolumeUnmute,F11_corrective_all_families,Help_Volume,volume,False,,,
"i said streaming started, not streaming stopped",Cmd.StreamingStart,F11_corrective_all_families,Cmd.StreamingStop,streaming,False,,,
"my cycling please, not my walking",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"forget my cycling, i need my calories",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"forget streaming started, i need help with my tv streamer",Help_Accessories,F11_corrective_all_families,Cmd.StreamingStart,streaming,False,,,
"not to pair them, what is new",Help_WhatsNew,F11_corrective_all_families,Help_Pairing,app,False,,,
"to translate please, not how translate works",Cmd.TranslationStart,F11_corrective_all_families,Help_Translate,translate,False,,,
i asked for my running not my standing time,Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"forget my cycling, i need my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"my running please, not my walking",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"what is new please, not the app settings",Help_WhatsNew,F11_corrective_all_families,Help_AppSettings,app,False,,,
"forget the voice assistant, i need what is new",Help_WhatsNew,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"not the device settings, how to clean them",Help_CleanCare,F11_corrective_all_families,Help_DeviceSettings,care,False,,,
"i said to pair them, not the voice assistant",Help_Pairing,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"not how the volume works, unmuted",Cmd.VolumeUnmute,F11_corrective_all_families,Help_Volume,volume,False,,,
"i said my walking, not my cycling",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"my calories please, not my workout",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
i asked for how to change programs not how to make a new program,Help_ChangingMemories,F11_corrective_all_families,Help_MemoryOptions,memory,False,,,
"i said the charge level, not what battery size i need",Cmd.BatteryLevel,F11_corrective_all_families,Help_Battery,battery,False,,,
"not how the volume works, quieter",Cmd.VolumeDecrease,F11_corrective_all_families,Help_Volume,volume,False,,,
"i said my step count, not my walking",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"forget my aerobics, i need my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
i asked for my calories not my aerobics,Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
i asked for my walking not my cycling,Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"i said my running, not my walking",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"do not give me my walking, give me my workout",Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"my running please, not my standing time",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"not my aerobics, my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
"do not give me my cycling, give me my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"forget a self check, i need the device settings",Help_DeviceSettings,F11_corrective_all_families,Help_SelfCheck,care,False,,,
"forget how to make a new program, i need how to change programs",Help_ChangingMemories,F11_corrective_all_families,Help_MemoryOptions,memory,False,,,
"not streaming started, streaming stopped",Cmd.StreamingStop,F11_corrective_all_families,Cmd.StreamingStart,streaming,False,,,
"forget my running, i need my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"forget the voice assistant, i need the basics",Help_Home,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"forget a self check, i need how to clean them",Help_CleanCare,F11_corrective_all_families,Help_SelfCheck,care,False,,,
"do not give me my running, give me my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"not unmuted, quieter",Cmd.VolumeDecrease,F11_corrective_all_families,Cmd.VolumeUnmute,volume,False,,,
"i do not want to share my data, i want a remote appointment",Help_HearingCareAnywhereConnect,F11_corrective_all_families,Help_HearShare,remote,False,,,
i asked for to pair them not the app settings,Help_Pairing,F11_corrective_all_families,Help_AppSettings,app,False,,,
i asked for streaming started not streaming stopped,Cmd.StreamingStart,F11_corrective_all_families,Cmd.StreamingStop,streaming,False,,,
"i said how the volume works, not louder",Help_Volume,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
"do not give me the device settings, give me how to clean them",Help_CleanCare,F11_corrective_all_families,Help_DeviceSettings,care,False,,,
"not my running, my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"do not give me the basics, give me the app settings",Help_AppSettings,F11_corrective_all_families,Help_Home,app,False,,,
"not my standing time, my walking",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"not streaming stopped, streaming started",Cmd.StreamingStart,F11_corrective_all_families,Cmd.StreamingStop,streaming,False,,,
"do not give me my aerobics, give me my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
"i do not want louder, i want unmuted",Cmd.VolumeUnmute,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
"i do not want a remote appointment, i want a remote adjustment",Help_RemoteProgramming,F11_corrective_all_families,Help_HearingCareAnywhereConnect,remote,False,,,
i asked for the device settings not a self check,Help_DeviceSettings,F11_corrective_all_families,Help_SelfCheck,care,False,,,
"i said to transcribe, not how transcribe works",Cmd.TranscribeStart,F11_corrective_all_families,Help_Transcribe,transcribe,False,,,
"not to pair them, the app settings",Help_AppSettings,F11_corrective_all_families,Help_Pairing,app,False,,,
i asked for my workout not my calories,Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"i do not want muted, i want quieter",Cmd.VolumeDecrease,F11_corrective_all_families,Cmd.VolumeMute,volume,False,,,
"muted please, not how the volume works",Cmd.VolumeMute,F11_corrective_all_families,Help_Volume,volume,False,,,
i asked for a different program not how to personalise the sound,Cmd.MemoryChange,F11_corrective_all_families,Help_Customize,memory,False,,,
"how transcribe works please, not to transcribe",Help_Transcribe,F11_corrective_all_families,Cmd.TranscribeStart,transcribe,False,,,
"forget how to personalise the sound, i need how to change programs",Help_ChangingMemories,F11_corrective_all_families,Help_Customize,memory,False,,,
"i said how the volume works, not muted",Help_Volume,F11_corrective_all_families,Cmd.VolumeMute,volume,False,,,
"do not give me a self check, give me how to clean them",Help_CleanCare,F11_corrective_all_families,Help_SelfCheck,care,False,,,
"how to put them in please, not a self check",Help_InsertDevice,F11_corrective_all_families,Help_SelfCheck,care,False,,,
"i do not want louder, i want how the volume works",Help_Volume,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
i asked for how to personalise the sound not how to change programs,Help_Customize,F11_corrective_all_families,Help_ChangingMemories,memory,False,,,
"do not give me my aerobics, give me my calories",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
i asked for how to make a new program not how to change programs,Help_MemoryOptions,F11_corrective_all_families,Help_ChangingMemories,memory,False,,,
i asked for my step count not my standing time,Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"i do not want how the volume works, i want louder",Cmd.VolumeIncrease,F11_corrective_all_families,Help_Volume,volume,False,,,
"not my running, my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"forget louder, i need unmuted",Cmd.VolumeUnmute,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
"do not give me a remote appointment, give me to share my data",Help_HearShare,F11_corrective_all_families,Help_HearingCareAnywhereConnect,remote,False,,,
"i said my running, not my step count",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"i do not want my standing time, i want my walking",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"i said louder, not muted",Cmd.VolumeIncrease,F11_corrective_all_families,Cmd.VolumeMute,volume,False,,,
"my cycling please, not my running",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"not my calories, my walking",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"my workout please, not my walking",Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"i do not want my calories, i want my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"forget my cycling, i need my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"i said the app settings, not the basics",Help_AppSettings,F11_corrective_all_families,Help_Home,app,False,,,
"forget how to clean them, i need the device settings",Help_DeviceSettings,F11_corrective_all_families,Help_CleanCare,care,False,,,
"forget how to put them in, i need the device settings",Help_DeviceSettings,F11_corrective_all_families,Help_InsertDevice,care,False,,,
"how translate works please, not to translate",Help_Translate,F11_corrective_all_families,Cmd.TranslationStart,translate,False,,,
"my cycling please, not my workout",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"my step count please, not my workout",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
i asked for how to clean them not the device settings,Help_CleanCare,F11_corrective_all_families,Help_DeviceSettings,care,False,,,
"i do not want the basics, i want the voice assistant",Help_VoiceAssistant,F11_corrective_all_families,Help_Home,app,False,,,
"not my calories, my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"do not give me help with my tv streamer, give me streaming started",Cmd.StreamingStart,F11_corrective_all_families,Help_Accessories,streaming,False,,,
"do not give me how to change programs, give me how to make a new program",Help_MemoryOptions,F11_corrective_all_families,Help_ChangingMemories,memory,False,,,
"i said my walking, not my step count",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
i asked for how to put them in not how to clean them,Help_InsertDevice,F11_corrective_all_families,Help_CleanCare,care,False,,,
"do not give me my workout, give me my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
i asked for my cycling not my walking,Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"forget my running, i need my walking",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"forget that reminder marked done, i need a new reminder",reminders.add,F11_corrective_all_families,reminders.complete,reminders,False,,,
"to pair them please, not the basics",Help_Pairing,F11_corrective_all_families,Help_Home,app,False,,,
"not my walking, my cycling",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"do not give me my calories, give me my cycling",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
i asked for my step count not my running,Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"not how transcribe works, to transcribe",Cmd.TranscribeStart,F11_corrective_all_families,Help_Transcribe,transcribe,False,,,
"louder please, not how the volume works",Cmd.VolumeIncrease,F11_corrective_all_families,Help_Volume,volume,False,,,
i asked for how reminders work not a new reminder,Help_Reminder,F11_corrective_all_families,reminders.add,reminders,False,,,
"forget the charge level, i need what battery size i need",Help_Battery,F11_corrective_all_families,Cmd.BatteryLevel,battery,False,,,
"do not give me a remote adjustment, give me a remote appointment",Help_HearingCareAnywhereConnect,F11_corrective_all_families,Help_RemoteProgramming,remote,False,,,
"my workout please, not my aerobics",Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
i asked for what is new not the voice assistant,Help_WhatsNew,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"i said my walking, not my calories",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"not what is new, the voice assistant",Help_VoiceAssistant,F11_corrective_all_families,Help_WhatsNew,app,False,,,
"not what is new, the basics",Help_Home,F11_corrective_all_families,Help_WhatsNew,app,False,,,
"forget help with my tv streamer, i need streaming started",Cmd.StreamingStart,F11_corrective_all_families,Help_Accessories,streaming,False,,,
"how the volume works please, not louder",Help_Volume,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
"forget my walking, i need my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"do not give me louder, give me how the volume works",Help_Volume,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
"i said my calories, not my cycling",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"a different program please, not how to change programs",Cmd.MemoryChange,F11_corrective_all_families,Help_ChangingMemories,memory,False,,,
"i do not want muted, i want unmuted",Cmd.VolumeUnmute,F11_corrective_all_families,Cmd.VolumeMute,volume,False,,,
"do not give me my standing time, give me my workout",Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"do not give me the voice assistant, give me the basics",Help_Home,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"how to put them in please, not how to clean them",Help_InsertDevice,F11_corrective_all_families,Help_CleanCare,care,False,,,
"my aerobics please, not my workout",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"not my workout, my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"forget my running, i need my cycling",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"not muted, quieter",Cmd.VolumeDecrease,F11_corrective_all_families,Cmd.VolumeMute,volume,False,,,
"forget the voice assistant, i need to pair them",Help_Pairing,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
i asked for muted not quieter,Cmd.VolumeMute,F11_corrective_all_families,Cmd.VolumeDecrease,volume,False,,,
"not my aerobics, my walking",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
"i do not want my walking, i want my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"not my aerobics, my calories",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
"do not give me my walking, give me my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"do not give me my cycling, give me my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"i said what is new, not the voice assistant",Help_WhatsNew,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"forget my workout, i need my cycling",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"forget how the volume works, i need unmuted",Cmd.VolumeUnmute,F11_corrective_all_families,Help_Volume,volume,False,,,
"not my step count, my workout",Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"forget my workout, i need my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"forget my step count, i need my cycling",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"do not give me a different program, give me how to personalise the sound",Help_Customize,F11_corrective_all_families,Cmd.MemoryChange,memory,False,,,
i asked for my running not my cycling,Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"do not give me how the volume works, give me louder",Cmd.VolumeIncrease,F11_corrective_all_families,Help_Volume,volume,False,,,
"i said my standing time, not my calories",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"not my walking, my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"forget what is new, i need the app settings",Help_AppSettings,F11_corrective_all_families,Help_WhatsNew,app,False,,,
"forget a different program, i need how to personalise the sound",Help_Customize,F11_corrective_all_families,Cmd.MemoryChange,memory,False,,,
i asked for a remote adjustment not to share my data,Help_RemoteProgramming,F11_corrective_all_families,Help_HearShare,remote,False,,,
i asked for how transcribe works not to transcribe,Help_Transcribe,F11_corrective_all_families,Cmd.TranscribeStart,transcribe,False,,,
i asked for to pair them not the voice assistant,Help_Pairing,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"not my aerobics, my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
i asked for the app settings not the basics,Help_AppSettings,F11_corrective_all_families,Help_Home,app,False,,,
"my hearing aid found please, not my phone found",Help_FindMyHearingAids,F11_corrective_all_families,Cmd.FindMyPhone,find,False,,,
i asked for louder not unmuted,Cmd.VolumeIncrease,F11_corrective_all_families,Cmd.VolumeUnmute,volume,False,,,
"i said unmuted, not louder",Cmd.VolumeUnmute,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
"i said help with my tv streamer, not streaming stopped",Help_Accessories,F11_corrective_all_families,Cmd.StreamingStop,streaming,False,,,
"i do not want how to personalise the sound, i want a different program",Cmd.MemoryChange,F11_corrective_all_families,Help_Customize,memory,False,,,
"not the app settings, to pair them",Help_Pairing,F11_corrective_all_families,Help_AppSettings,app,False,,,
"forget unmuted, i need muted",Cmd.VolumeMute,F11_corrective_all_families,Cmd.VolumeUnmute,volume,False,,,
"do not give me my cycling, give me my calories",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"do not give me a remote adjustment, give me to share my data",Help_HearShare,F11_corrective_all_families,Help_RemoteProgramming,remote,False,,,
"forget muted, i need how the volume works",Help_Volume,F11_corrective_all_families,Cmd.VolumeMute,volume,False,,,
"forget that reminder marked done, i need how reminders work",Help_Reminder,F11_corrective_all_families,reminders.complete,reminders,False,,,
"i said the basics, not the app settings",Help_Home,F11_corrective_all_families,Help_AppSettings,app,False,,,
"i do not want how to change programs, i want how to make a new program",Help_MemoryOptions,F11_corrective_all_families,Help_ChangingMemories,memory,False,,,
"my calories please, not my walking",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
i asked for my cycling not my step count,Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"not to share my data, a remote adjustment",Help_RemoteProgramming,F11_corrective_all_families,Help_HearShare,remote,False,,,
"do not give me how to make a new program, give me a different program",Cmd.MemoryChange,F11_corrective_all_families,Help_MemoryOptions,memory,False,,,
i asked for help with my tv streamer not streaming stopped,Help_Accessories,F11_corrective_all_families,Cmd.StreamingStop,streaming,False,,,
"forget the app settings, i need to pair them",Help_Pairing,F11_corrective_all_families,Help_AppSettings,app,False,,,
"do not give me my step count, give me my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"i do not want my running, i want my cycling",Cmd.ActivityCycle,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"i do not want that reminder marked done, i want a new reminder",reminders.add,F11_corrective_all_families,reminders.complete,reminders,False,,,
"i do not want quieter, i want unmuted",Cmd.VolumeUnmute,F11_corrective_all_families,Cmd.VolumeDecrease,volume,False,,,
"forget my hearing aid found, i need my phone found",Cmd.FindMyPhone,F11_corrective_all_families,Help_FindMyHearingAids,find,False,,,
i asked for the voice assistant not the app settings,Help_VoiceAssistant,F11_corrective_all_families,Help_AppSettings,app,False,,,
"not my aerobics, my workout",Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
"forget what battery size i need, i need the charge level",Cmd.BatteryLevel,F11_corrective_all_families,Help_Battery,battery,False,,,
i asked for how the volume works not unmuted,Help_Volume,F11_corrective_all_families,Cmd.VolumeUnmute,volume,False,,,
"how the volume works please, not muted",Help_Volume,F11_corrective_all_families,Cmd.VolumeMute,volume,False,,,
"do not give me louder, give me unmuted",Cmd.VolumeUnmute,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
i asked for a new reminder not that reminder marked done,reminders.add,F11_corrective_all_families,reminders.complete,reminders,False,,,
"do not give me my aerobics, give me my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
i asked for the charge level not what battery size i need,Cmd.BatteryLevel,F11_corrective_all_families,Help_Battery,battery,False,,,
"forget my walking, i need my calories",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"forget my step count, i need my standing time",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"do not give me what is new, give me the app settings",Help_AppSettings,F11_corrective_all_families,Help_WhatsNew,app,False,,,
i asked for what is new not to pair them,Help_WhatsNew,F11_corrective_all_families,Help_Pairing,app,False,,,
"i do not want my workout, i want my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"i said the device settings, not a self check",Help_DeviceSettings,F11_corrective_all_families,Help_SelfCheck,care,False,,,
"my walking please, not my standing time",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"i said quieter, not unmuted",Cmd.VolumeDecrease,F11_corrective_all_families,Cmd.VolumeUnmute,volume,False,,,
i asked for streaming stopped not streaming started,Cmd.StreamingStop,F11_corrective_all_families,Cmd.StreamingStart,streaming,False,,,
"do not give me my calories, give me my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
i asked for what is new not the basics,Help_WhatsNew,F11_corrective_all_families,Help_Home,app,False,,,
"forget the voice assistant, i need the app settings",Help_AppSettings,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
i asked for my standing time not my calories,Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"forget how transcribe works, i need to transcribe",Cmd.TranscribeStart,F11_corrective_all_families,Help_Transcribe,transcribe,False,,,
"do not give me to pair them, give me the voice assistant",Help_VoiceAssistant,F11_corrective_all_families,Help_Pairing,app,False,,,
"a remote appointment please, not to share my data",Help_HearingCareAnywhereConnect,F11_corrective_all_families,Help_HearShare,remote,False,,,
"i do not want my walking, i want my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"do not give me my standing time, give me my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityStand,activity,False,,,
"not my cycling, my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"my aerobics please, not my running",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"my walking please, not my step count",Cmd.ActivityWalk,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"forget louder, i need muted",Cmd.VolumeMute,F11_corrective_all_families,Cmd.VolumeIncrease,volume,False,,,
"do not give me the app settings, give me the voice assistant",Help_VoiceAssistant,F11_corrective_all_families,Help_AppSettings,app,False,,,
"forget my calories, i need my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"forget to pair them, i need what is new",Help_WhatsNew,F11_corrective_all_families,Help_Pairing,app,False,,,
"do not give me the voice assistant, give me to pair them",Help_Pairing,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
i asked for the app settings not what is new,Help_AppSettings,F11_corrective_all_families,Help_WhatsNew,app,False,,,
"streaming stopped please, not streaming started",Cmd.StreamingStop,F11_corrective_all_families,Cmd.StreamingStart,streaming,False,,,
"my standing time please, not my workout",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"i do not want quieter, i want how the volume works",Help_Volume,F11_corrective_all_families,Cmd.VolumeDecrease,volume,False,,,
"i said my aerobics, not my cycling",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
"i said a remote appointment, not a remote adjustment",Help_HearingCareAnywhereConnect,F11_corrective_all_families,Help_RemoteProgramming,remote,False,,,
"not a different program, how to make a new program",Help_MemoryOptions,F11_corrective_all_families,Cmd.MemoryChange,memory,False,,,
"not my running, my calories",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"i do not want the device settings, i want how to clean them",Help_CleanCare,F11_corrective_all_families,Help_DeviceSettings,care,False,,,
"do not give me streaming stopped, give me streaming started",Cmd.StreamingStart,F11_corrective_all_families,Cmd.StreamingStop,streaming,False,,,
i asked for how to change programs not how to personalise the sound,Help_ChangingMemories,F11_corrective_all_families,Help_Customize,memory,False,,,
"not a remote appointment, a remote adjustment",Help_RemoteProgramming,F11_corrective_all_families,Help_HearingCareAnywhereConnect,remote,False,,,
"not how to personalise the sound, how to change programs",Help_ChangingMemories,F11_corrective_all_families,Help_Customize,memory,False,,,
"forget a remote adjustment, i need a remote appointment",Help_HearingCareAnywhereConnect,F11_corrective_all_families,Help_RemoteProgramming,remote,False,,,
"do not give me my cycling, give me my aerobics",Cmd.ActivityAerobics,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
i asked for to pair them not the basics,Help_Pairing,F11_corrective_all_families,Help_Home,app,False,,,
"to share my data please, not a remote adjustment",Help_HearShare,F11_corrective_all_families,Help_RemoteProgramming,remote,False,,,
"forget my running, i need my workout",Cmd.ActivityExercise,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
"i do not want how reminders work, i want that reminder marked done",reminders.complete,F11_corrective_all_families,Help_Reminder,reminders,False,,,
i asked for to share my data not a remote appointment,Help_HearShare,F11_corrective_all_families,Help_HearingCareAnywhereConnect,remote,False,,,
"do not give me my running, give me my calories",Cmd.ActivityCalories,F11_corrective_all_families,Cmd.ActivityRun,activity,False,,,
i asked for my step count not my workout,Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityExercise,activity,False,,,
"forget a remote adjustment, i need to share my data",Help_HearShare,F11_corrective_all_families,Help_RemoteProgramming,remote,False,,,
"my standing time please, not my aerobics",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
"do not give me how to change programs, give me a different program",Cmd.MemoryChange,F11_corrective_all_families,Help_ChangingMemories,memory,False,,,
"not my aerobics, my step count",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityAerobics,activity,False,,,
"not how to clean them, how to put them in",Help_InsertDevice,F11_corrective_all_families,Help_CleanCare,care,False,,,
"forget quieter, i need louder",Cmd.VolumeIncrease,F11_corrective_all_families,Cmd.VolumeDecrease,volume,False,,,
"not a remote adjustment, to share my data",Help_HearShare,F11_corrective_all_families,Help_RemoteProgramming,remote,False,,,
i asked for my running not my step count,Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityStep,activity,False,,,
"not the app settings, the voice assistant",Help_VoiceAssistant,F11_corrective_all_families,Help_AppSettings,app,False,,,
"not the voice assistant, what is new",Help_WhatsNew,F11_corrective_all_families,Help_VoiceAssistant,app,False,,,
"i said the voice assistant, not the basics",Help_VoiceAssistant,F11_corrective_all_families,Help_Home,app,False,,,
"forget a new reminder, i need that reminder marked done",reminders.complete,F11_corrective_all_families,reminders.add,reminders,False,,,
"do not give me my calories, give me my running",Cmd.ActivityRun,F11_corrective_all_families,Cmd.ActivityCalories,activity,False,,,
"i said my standing time, not my walking",Cmd.ActivityStand,F11_corrective_all_families,Cmd.ActivityWalk,activity,False,,,
"do not give me a new reminder, give me that reminder marked done",reminders.complete,F11_corrective_all_families,reminders.add,reminders,False,,,
"my step count please, not my cycling",Cmd.ActivityStep,F11_corrective_all_families,Cmd.ActivityCycle,activity,False,,,
