text,intent,row,prediction,confidence,correct
make a new reminder,reminders.task.create,391,reminders.task.create,0.97920954,True
create an entry in my reminders,reminders.task.create,392,reminders.task.create,0.8891678,True
set something to remind me tomorrow,reminders.task.create,393,reminders.task.create,0.9860491,True
add a reminder for the weekend,reminders.task.create,394,reminders.task.create,0.98540753,True
schedule a new reminder,reminders.task.create,395,reminders.task.create,0.98037624,True
please create a reminder,reminders.task.create,396,reminders.task.create,0.97840047,True
put this on my reminder list,reminders.task.create,397,reminders.task.create,0.7682814,True
remind me to buy groceries,reminders.task.create,398,reminders.task.create,0.96677834,True
add an appointment reminder,reminders.task.create,399,reminders.task.create,0.98074543,True
create a reminder for the morning,reminders.task.create,400,reminders.task.create,0.9873382,True
set a reminder for later today,reminders.task.create,401,reminders.task.create,0.9877279,True
make sure I get a reminder about this,reminders.task.create,402,reminders.task.create,0.9622751,True
add this as a reminder,reminders.task.create,403,reminders.task.create,0.9786956,True
schedule something in reminders,reminders.task.create,404,reminders.task.create,0.9540278,True
create a reminder to charge the phone,reminders.task.create,405,reminders.task.create,0.9822289,True
set a reminder for my medication time,reminders.task.create,406,reminders.task.create,0.96477383,True
add a new reminder for tomorrow,reminders.task.create,407,reminders.task.create,0.9820176,True
remind me to send the email,reminders.task.create,408,reminders.task.create,0.9789787,True
make a reminder for Friday,reminders.task.create,409,reminders.task.create,0.9891769,True
create a reminder entry,reminders.task.create,410,reminders.task.create,0.98224914,True
schedule a reminder for my task,reminders.task.create,411,reminders.task.create,0.9822464,True
set up a reminder for the appointment,reminders.task.create,412,reminders.task.create,0.986212,True
add this task to reminders,reminders.task.create,413,reminders.task.create,0.8380056,True
create a new scheduled reminder,reminders.task.create,414,reminders.task.create,0.9828567,True
remind me about my call,reminders.task.create,415,reminders.task.create,0.9701708,True
put a reminder in place,reminders.task.create,416,reminders.task.create,0.9865406,True
set a reminder so I remember,reminders.task.create,417,reminders.task.create,0.9838695,True
add another reminder,reminders.task.create,418,reminders.task.create,0.97763306,True
create a reminder for tonight,reminders.task.create,419,reminders.task.create,0.9853286,True
schedule my reminder,reminders.task.create,420,reminders.task.create,0.9742424,True
make a reminder for the afternoon,reminders.task.create,421,reminders.task.create,0.9876808,True
remind me to check the oven,reminders.task.create,422,reminders.task.create,0.96774787,True
add a reminder for an upcoming task,reminders.task.create,423,reminders.task.create,0.973927,True
create a reminder about the trip,reminders.task.create,424,reminders.task.create,0.9794717,True
set one for tomorrow morning,reminders.task.create,425,reminders.task.create,0.96266943,True
put this into my reminder schedule,reminders.task.create,426,reminders.task.create,0.9793768,True
make a new reminder entry,reminders.task.create,427,reminders.task.create,0.9773521,True
add a reminder for next month,reminders.task.create,428,reminders.task.create,0.989097,True
create a reminder to call home,reminders.task.create,429,reminders.task.create,0.9779196,True
schedule something as a reminder,reminders.task.create,430,reminders.task.create,0.9895946,True
set up a new reminder,reminders.task.create,431,reminders.task.create,0.9847072,True
mark my current reminder as done,reminders.task.complete,432,reminders.task.complete,0.9874249,True
finish the reminder I just handled,reminders.task.complete,433,reminders.task.complete,0.9267759,True
dismiss the reminder that is completed,reminders.task.complete,434,reminders.task.complete,0.9655664,True
check off my latest reminder,reminders.task.complete,435,reminders.task.complete,0.98424006,True
clear the reminder I finished,reminders.task.complete,436,reminders.task.complete,0.9489386,True
mark that reminder complete,reminders.task.complete,437,reminders.task.complete,0.98946065,True
remove the reminder I have already done,reminders.task.complete,438,reminders.task.complete,0.8835189,True
complete my pending reminder,reminders.task.complete,439,reminders.task.complete,0.9905089,True
close out the reminder I finished,reminders.task.complete,440,reminders.task.complete,0.96449286,True
mark the task behind the reminder as complete,reminders.task.complete,441,reminders.task.complete,0.9852985,True
"I've done it, complete that reminder",reminders.task.complete,442,reminders.task.complete,0.9616201,True
dismiss my completed reminder,reminders.task.complete,443,reminders.task.complete,0.9848969,True
check that reminder off my list,reminders.task.complete,444,reminders.task.complete,0.9843663,True
finish the active reminder,reminders.task.complete,445,reminders.task.complete,0.975805,True
mark the reminder as completed,reminders.task.complete,446,reminders.task.complete,0.9908731,True
clear my finished reminder,reminders.task.complete,447,reminders.task.complete,0.9824683,True
complete the reminder task,reminders.task.complete,448,reminders.task.complete,0.9865079,True
remove the reminder after finishing it,reminders.task.complete,449,reminders.task.complete,0.76584065,True
close the reminder I completed,reminders.task.complete,450,reminders.task.complete,0.95986295,True
mark my reminder done,reminders.task.complete,451,reminders.task.complete,0.9904081,True
"I finished that task, clear its reminder",reminders.task.complete,452,reminders.task.complete,0.79968184,True
complete my latest reminder,reminders.task.complete,453,reminders.task.complete,0.9844639,True
dismiss the reminder I no longer need,reminders.task.complete,454,reminders.task.complete,0.8265118,True
check off the task I was reminded about,reminders.task.complete,455,reminders.task.complete,0.7550111,True
mark that reminder as finished,reminders.task.complete,456,reminders.task.complete,0.98949665,True
clear the completed reminder,reminders.task.complete,457,reminders.task.complete,0.9789185,True
finish the reminder task,reminders.task.complete,458,reminders.task.complete,0.9823757,True
complete the active reminder,reminders.task.complete,459,reminders.task.complete,0.9866143,True
remove the reminder I just completed,reminders.task.complete,460,reminders.task.complete,0.7476939,True
mark this reminder done,reminders.task.complete,461,reminders.task.complete,0.9843203,True
dismiss my current reminder,reminders.task.complete,462,reminders.task.complete,0.9791982,True
check off my reminder,reminders.task.complete,463,reminders.task.complete,0.98573583,True
finish the reminder that's pending,reminders.task.complete,464,reminders.task.complete,0.9222943,True
complete that reminder now,reminders.task.complete,465,reminders.task.complete,0.97412646,True
clear the reminder I handled,reminders.task.complete,466,reminders.task.complete,0.9289629,True
mark my outstanding reminder complete,reminders.task.complete,467,reminders.task.complete,0.98902076,True
close my completed reminder,reminders.task.complete,468,reminders.task.complete,0.9831889,True
finish my active reminder,reminders.task.complete,469,reminders.task.complete,0.9787248,True
complete the reminder I just dealt with,reminders.task.complete,470,reminders.task.complete,0.94340456,True
remove my finished reminder,reminders.task.complete,471,reminders.task.complete,0.96600723,True
mark the current reminder as completed,reminders.task.complete,472,reminders.task.complete,0.9871313,True
dismiss the reminder after completing it,reminders.task.complete,473,reminders.task.complete,0.97221667,True
check the reminder off as done,reminders.task.complete,474,reminders.task.complete,0.9829385,True
complete my pending reminder task,reminders.task.complete,475,reminders.task.complete,0.9886723,True
clear the task reminder I finished,reminders.task.complete,476,reminders.task.complete,0.97271436,True
mark that item complete,reminders.task.complete,477,reminders.task.complete,0.9837145,True
finish this reminder,reminders.task.complete,478,reminders.task.complete,0.9745473,True
remove the completed reminder,reminders.task.complete,479,reminders.task.complete,0.9718472,True
complete the current reminder,reminders.task.complete,480,reminders.task.complete,0.97990936,True
close out this reminder,reminders.task.complete,481,reminders.task.complete,0.9766632,True
mark the reminder finished,reminders.task.complete,482,reminders.task.complete,0.9889135,True
clear my completed task reminder,reminders.task.complete,483,reminders.task.complete,0.98507315,True
check off the current reminder,reminders.task.complete,484,reminders.task.complete,0.9857216,True
complete the reminder item,reminders.task.complete,485,reminders.task.complete,0.986043,True
send audio from my phone to the hearing aids,streaming.session.start,486,streaming.session.start,0.9752898,True
start streaming music into my hearing aids,streaming.session.start,487,streaming.session.start,0.98829275,True
connect the laptop audio to my devices,streaming.session.start,488,streaming.session.start,0.986973,True
play my tablet sound through the hearing aids,streaming.session.start,489,streaming.session.start,0.9549779,True
route the phone's audio to my hearing aids,streaming.session.start,490,streaming.session.start,0.98244345,True
begin streaming from my mobile,streaming.session.start,491,streaming.session.start,0.97762156,True
let me hear the TV through my hearing aids,streaming.session.start,492,streaming.session.start,0.97132576,True
start an audio connection with my phone,streaming.session.start,493,streaming.session.start,0.98050356,True
stream sound from the computer,streaming.session.start,494,streaming.session.start,0.9833988,True
connect my hearing aids to the television audio,streaming.session.start,495,streaming.session.start,0.9848599,True
start sending media audio to my devices,streaming.session.start,496,streaming.session.start,0.9770024,True
play the phone through my hearing aids,streaming.session.start,497,streaming.session.start,0.9653374,True
begin streaming from the laptop,streaming.session.start,498,streaming.session.start,0.98405105,True
route music into my hearing aids,streaming.session.start,499,streaming.session.start,0.92652816,True
connect to my tablet for audio,streaming.session.start,500,streaming.session.start,0.9828851,True
start the streaming session,streaming.session.start,501,streaming.session.start,0.98513585,True
send the computer sound to my hearing aids,streaming.session.start,502,streaming.session.start,0.9304548,True
play TV audio through the devices,streaming.session.start,503,streaming.session.start,0.9760367,True
start streaming from my smartphone,streaming.session.start,504,streaming.session.start,0.98157805,True
connect my hearing aids to the media source,streaming.session.start,505,streaming.session.start,0.9783489,True
begin routing audio from the phone,streaming.session.start,506,streaming.session.start,0.93375295,True
stream the laptop's sound to my devices,streaming.session.start,507,streaming.session.start,0.9746268,True
let the hearing aids receive TV audio,streaming.session.start,508,streaming.session.start,0.93071234,True
start a connection for media sound,streaming.session.start,509,streaming.session.start,0.97868836,True
send music directly to my hearing aids,streaming.session.start,510,streaming.session.start,0.9722853,True
begin audio streaming,streaming.session.start,511,streaming.session.start,0.9878946,True
connect the hearing aids for streaming,streaming.session.start,512,streaming.session.start,0.9880592,True
route my tablet audio to the devices,streaming.session.start,513,streaming.session.start,0.9781075,True
start playing phone audio through the hearing aids,streaming.session.start,514,streaming.session.start,0.97189057,True
stream audio from my computer,streaming.session.start,515,streaming.session.start,0.9890961,True
connect to the TV audio,streaming.session.start,516,streaming.session.start,0.98626035,True
begin streaming media to the hearing aids,streaming.session.start,517,streaming.session.start,0.98515224,True
start routing sound from my phone,streaming.session.start,518,streaming.session.start,0.94824034,True
play the computer audio through my devices,streaming.session.start,519,streaming.session.start,0.97399217,True
establish the audio stream,streaming.session.start,520,streaming.session.stop,0.48995158,False
start sending sound to the hearing aids,streaming.session.start,521,streaming.session.start,0.9694341,True
connect my phone for streaming,streaming.session.start,522,streaming.session.start,0.9743853,True
begin the media audio connection,streaming.session.start,523,streaming.session.start,0.9854037,True
stream sound from the television,streaming.session.start,524,streaming.session.start,0.98165375,True
route audio from my laptop,streaming.session.start,525,streaming.session.start,0.979625,True
start streaming from my tablet,streaming.session.start,526,streaming.session.start,0.9883952,True
send TV sound into the hearing aids,streaming.session.start,527,streaming.session.start,0.92743254,True
open the audio stream,streaming.session.start,528,streaming.session.start,0.96327454,True
connect the devices to my phone audio,streaming.session.start,529,streaming.session.start,0.9705738,True
start streaming the media,streaming.session.start,530,streaming.session.start,0.9837398,True
begin playing audio through the hearing aids,streaming.session.start,531,streaming.session.start,0.97477055,True
route music from my smartphone,streaming.session.start,532,streaming.session.start,0.4881681,True
start the hearing aid streaming connection,streaming.session.start,533,streaming.session.start,0.9902947,True
connect my laptop audio,streaming.session.start,534,streaming.session.start,0.98167014,True
begin streaming from the TV,streaming.session.start,535,streaming.session.start,0.9863468,True
send media sound to my hearing aids,streaming.session.start,536,streaming.session.start,0.9357126,True
start an audio stream from the phone,streaming.session.start,537,streaming.session.start,0.97407985,True
route my computer's sound to the devices,streaming.session.start,538,streaming.session.start,0.8970877,True
connect for audio streaming,streaming.session.start,539,streaming.session.start,0.98851657,True
stop sending audio to my hearing aids,streaming.session.stop,540,streaming.session.stop,0.8701202,True
end the current streaming session,streaming.session.stop,541,streaming.session.stop,0.97016597,True
disconnect the phone audio,streaming.session.stop,542,streaming.session.stop,0.9703279,True
stop streaming from my laptop,streaming.session.stop,543,streaming.session.stop,0.993509,True
end the media connection,streaming.session.stop,544,streaming.session.stop,0.9861665,True
disconnect my hearing aids from the TV audio,streaming.session.stop,545,streaming.session.stop,0.9697054,True
stop the audio stream,streaming.session.stop,546,streaming.session.stop,0.99024266,True
turn off the current streaming connection,streaming.session.stop,547,streaming.session.stop,0.9876457,True
end streaming now,streaming.session.stop,548,streaming.session.stop,0.9589519,True
stop routing sound from the phone,streaming.session.stop,549,streaming.session.stop,0.9528637,True
disconnect the tablet audio,streaming.session.stop,550,streaming.session.stop,0.9722631,True
finish the current streaming session,streaming.session.stop,551,streaming.session.stop,0.8938531,True
stop sending media sound to the devices,streaming.session.stop,552,device.volume.mute,0.6714528,False
disconnect the laptop from my hearing aids,streaming.session.stop,553,streaming.session.stop,0.9670072,True
end the audio stream,streaming.session.stop,554,streaming.session.stop,0.9721582,True
stop streaming music,streaming.session.stop,555,streaming.session.stop,0.99099004,True
break the current audio connection,streaming.session.stop,556,streaming.session.start,0.4594269,False
disconnect the hearing aids from the phone,streaming.session.stop,557,streaming.session.stop,0.96316093,True
stop the TV audio stream,streaming.session.stop,558,streaming.session.stop,0.99022305,True
close the streaming session,streaming.session.stop,559,streaming.session.stop,0.93403804,True
end the connection carrying audio,streaming.session.stop,560,streaming.session.stop,0.9653014,True
stop routing the computer sound,streaming.session.stop,561,streaming.session.stop,0.82778305,True
disconnect from the media source,streaming.session.stop,562,streaming.session.stop,0.98363227,True
finish streaming,streaming.session.stop,563,streaming.session.stop,0.9543292,True
stop the audio coming from my phone,streaming.session.stop,564,streaming.session.stop,0.96338814,True
end the current media stream,streaming.session.stop,565,streaming.session.stop,0.9816441,True
disconnect the hearing aids from the laptop,streaming.session.stop,566,streaming.session.stop,0.9601864,True
stop the streaming connection,streaming.session.stop,567,streaming.session.stop,0.99475586,True
turn off audio streaming,streaming.session.stop,568,streaming.session.stop,0.9766865,True
end the phone audio connection,streaming.session.stop,569,streaming.session.stop,0.9717026,True
stop sending TV sound,streaming.session.stop,570,streaming.session.stop,0.82084185,True
disconnect the tablet from the hearing aids,streaming.session.stop,571,streaming.session.stop,0.9668883,True
close the audio stream,streaming.session.stop,572,streaming.session.stop,0.96722245,True
finish the streaming session,streaming.session.stop,573,streaming.session.stop,0.9419722,True
stop media audio,streaming.session.stop,574,streaming.session.stop,0.9604908,True
break the streaming link,streaming.session.stop,575,streaming.session.start,0.9530361,False
disconnect the computer audio,streaming.session.stop,576,streaming.session.stop,0.967599,True
stop the current stream,streaming.session.stop,577,streaming.session.stop,0.99268335,True
end audio streaming,streaming.session.stop,578,streaming.session.stop,0.97692454,True
remove the active streaming connection,streaming.session.stop,579,streaming.session.stop,0.9786791,True
stop routing sound to my devices,streaming.session.stop,580,device.volume.mute,0.6054941,False
disconnect from the TV,streaming.session.stop,581,streaming.session.stop,0.9873675,True
finish the current audio connection,streaming.session.stop,582,streaming.session.stop,0.9326936,True
stop the phone stream,streaming.session.stop,583,streaming.session.stop,0.99219745,True
close the media connection,streaming.session.stop,584,streaming.session.stop,0.99131644,True
end streaming from the laptop,streaming.session.stop,585,streaming.session.stop,0.99026614,True
disconnect the audio source,streaming.session.stop,586,streaming.session.stop,0.9585261,True
stop streaming to the hearing aids,streaming.session.stop,587,streaming.session.stop,0.9774645,True
terminate the active audio stream,streaming.session.stop,588,streaming.session.stop,0.93981594,True
disconnect my phone audio,streaming.session.stop,589,streaming.session.stop,0.97387105,True
end the hearing aid streaming session,streaming.session.stop,590,streaming.session.stop,0.92093784,True
stop the media connection,streaming.session.stop,591,streaming.session.stop,0.9922117,True
close the current stream,streaming.session.stop,592,streaming.session.stop,0.94018114,True
disconnect from the laptop audio,streaming.session.stop,593,streaming.session.stop,0.980825,True
finish audio streaming,streaming.session.stop,594,streaming.session.stop,0.89759225,True
