text,intent,sklearn_prediction,onnx_prediction,sklearn_correct,onnx_correct,prediction_match
going for a walk track it for me,Cmd.ActivityWalk,7,7,False,False,True
help me remember to call grandma this evening,reminders.add,55,55,False,False,True
please remind me to buy shoes in paris,reminders.add,55,55,False,False,True
can you remember to take medicine today at 5 p.m.,reminders.add,55,55,False,False,True
calories burned this month,Cmd.ActivityCalories,1,1,False,False,True
quiet setting,Cmd.MemoryChange,11,11,False,False,True
can you memory two,Cmd.MemoryChange,11,11,False,False,True
please set a reminder for 1 hour,reminders.add,55,55,False,False,True
keep this on my radar,reminders.add,55,55,False,False,True
bring my sound back,Cmd.VolumeUnmute,20,20,False,False,True
i just took a seat in a noisy cafe,Cmd.MemoryChange,11,11,False,False,True
how would i send a manual alert text?,Help_FallAlert,31,31,False,False,True
give me an overview of the app,Help_Home,53,53,False,False,True
can you theater setting,Cmd.MemoryChange,11,11,False,False,True
translate them into my language,Cmd.TranslationStart,16,16,False,False,True
my aid keeps popping out,Help_InsertDevice,39,39,False,False,True
can you who has the best chinese food in sioux falls,Default Fallback Intent,21,21,False,False,True
please set memory to school,Cmd.MemoryChange,11,11,False,False,True
check cashing,Default Fallback Intent,21,21,False,False,True
turn up the volume on the hearing aid,Cmd.VolumeIncrease,18,18,False,False,True
can you locate my hearing aid,Help_FindMyHearingAids,32,32,False,False,True
how do i share my information with my wife?,Help_HearShare,34,34,False,False,True
can you play last push-to-talk.,Cmd.ListenMessage,10,10,False,False,True
please switch to work program,Cmd.MemoryChange,11,11,False,False,True
how do i access translation,Help_Translate,50,50,False,False,True
can my audiologist adjust my hearing aids remotely?,Help_RemoteProgramming,45,45,False,False,True
my device won't sit properly,Help_InsertDevice,29,29,False,False,True
explain hearing aid maintenance,Help_CleanCare,26,26,False,False,True
i'm heading out running,Cmd.ActivityRun,4,4,False,False,True
why won't my aids pair,Help_Pairing,43,43,False,False,True
what can i do with the advanced app?,Help_AppSettings,23,23,False,False,True
the audio sounds distorted,Help_DeviceSettings,29,29,False,False,True
what's demo mode,Help_DemoMode,28,28,False,False,True
how long have i been standing,Cmd.ActivityStand,5,5,False,False,True
how does edge mode improve sound,Help_EdgeMode,30,30,False,False,True
location,Default Fallback Intent,21,21,False,False,True
make it softer please,Cmd.VolumeDecrease,17,17,False,False,True
help me remember to buy milk,reminders.add,55,55,False,False,True
beam the tv sound to me,Cmd.StreamingStart,13,13,False,False,True
please tell me what how much do i owe you is in español,Cmd.TranslationStart,16,16,False,False,True
message this contact,Cmd.SendMessage,21,21,False,False,True
give me a little more sound,Cmd.VolumeIncrease,18,18,False,False,True
how do i get a better activity score?,Help_ThriveScore,47,47,False,False,True
can you i need to disconnect the hearing aids from the phone,Help_Pairing,43,43,False,False,True
can you change to mask mode memory,Cmd.MemoryChange,11,11,False,False,True
switch memory to two,Cmd.MemoryChange,11,11,False,False,True
switch memory to home,Cmd.MemoryChange,11,11,False,False,True
please mute the hearing aids,Cmd.VolumeMute,19,19,False,False,True
when will the batteries run out,Cmd.BatteryLevel,8,8,False,False,True
so this is your hearing aids,Default Fallback Intent,21,21,False,False,True
can you set to home program,Cmd.MemoryChange,11,11,False,False,True
can you remind me at 1 p.m. that i have to eat,reminders.add,55,55,False,False,True
show help guide for wellness,Help_ThriveScore,33,33,False,False,True
how do i change programs on the hearing aid?,Help_ChangingMemories,25,25,False,False,True
how do i enable double tap on my aids?,Help_DeviceSettings,29,29,False,False,True
track my stroll,Cmd.ActivityWalk,7,7,False,False,True
how do i adjust my noise masker on the left aid?,Help_Tinnitus,48,48,False,False,True
how do you calculate the thrive score?,Help_ThriveScore,47,47,False,False,True
remind me to pick up my prescription wednesday at 5 p.m.,reminders.add,55,55,False,False,True
noise setting,Cmd.MemoryChange,11,11,False,False,True
i need an adjustment to my hearing aids,Help_RemoteProgramming,45,45,False,False,True
what's up today,Default Fallback Intent,21,21,False,False,True
end streaming,Cmd.StreamingStop,14,14,False,False,True
turn my left hearing aid up,Cmd.VolumeIncrease,18,18,False,False,True
turn off remote mic streaming,Cmd.StreamingStop,14,14,False,False,True
track this ride,Cmd.ActivityCycle,21,21,False,False,True
new reminder about washing car,reminders.add,55,55,False,False,True
help pairing with my phone,Help_Pairing,43,43,False,False,True
turn up the volume in my right hearing aid,Cmd.VolumeIncrease,18,18,False,False,True
how do i unmute my hearing aids?,Help_Volume,52,52,False,False,True
i have an appointment coming up don't let me miss it,reminders.add,55,55,False,False,True
please change program to gym,Cmd.MemoryChange,11,11,False,False,True
can you noise program,Cmd.MemoryChange,11,11,False,False,True
guide me on changing volume,Help_Volume,52,52,False,False,True
what's on the homepage,Help_Home,38,38,False,False,True
save the run i just finished,Cmd.ActivityRun,4,4,False,False,True
please set program to office,Cmd.MemoryChange,11,11,False,False,True
set a reminder to pick up prescription today at 5 p.m.,reminders.add,55,55,False,False,True
help my aids sound off,Help_DeviceSettings,29,29,False,False,True
what features does this app have,Help_Home,38,38,False,False,True
help me get oriented,Help_Home,38,38,False,False,True
please it's too loud turn it down,Cmd.VolumeDecrease,17,17,False,False,True
can you find my song,Default Fallback Intent,21,21,False,False,True
give me text of this conversation,Cmd.TranscribeStart,15,15,False,False,True
i'm in the car now,Cmd.MemoryChange,11,11,False,False,True
switch to gym,Cmd.MemoryChange,11,11,False,False,True
i'm about to exercise,Cmd.ActivityExercise,21,21,False,False,True
tell me about edge mode,Help_EdgeMode,30,30,False,False,True
please show me my step count,Cmd.ActivityStep,6,6,False,False,True
can you hearing aid is not work,Help_SelfCheck,46,46,False,False,True
please set program to one,Cmd.MemoryChange,11,11,False,False,True
stop playing the tv through my aids,Cmd.StreamingStop,14,14,False,False,True
can you i misplaced my hearing aids,Help_FindMyHearingAids,32,32,False,False,True
please set memory to outdoors,Cmd.MemoryChange,11,11,False,False,True
the tv is on but i miss what they say,Cmd.VolumeIncrease,21,21,False,False,True
remember to take my medicine tuesday morning at 10 a.m.,reminders.add,55,55,False,False,True
can my hearing aids handle water,Help_CleanCare,26,26,False,False,True
what's going on,Default Fallback Intent,21,21,False,False,True
can you want to move up yeah i will,Default Fallback Intent,21,21,False,False,True
switch your hand sweetheart,Default Fallback Intent,21,21,False,False,True
guide me to my heart rate,Help_HeartRate,36,36,False,False,True
change memory to tinnitus,Cmd.MemoryChange,11,11,False,False,True
write a program in switch,Default Fallback Intent,21,21,False,False,True
can you raise the volume up,Cmd.VolumeIncrease,18,18,False,False,True
please heart rate recovery guide,Help_HeartRateRecovery,37,37,False,False,True
can you locate my hearing aids?,Help_FindMyHearingAids,32,32,False,False,True
calories biking,Cmd.ActivityCycle,2,2,False,False,True
can you turn off cable,Default Fallback Intent,21,21,False,False,True
can you set memory to three,Cmd.MemoryChange,11,11,False,False,True
please change to outdoors program,Cmd.MemoryChange,11,11,False,False,True
switch to car program,Cmd.MemoryChange,11,11,False,False,True
can i compare the adjustments made by my hearing care specialist?,Help_RemoteProgramming,45,45,False,False,True
it was discouraging and then i found balance of nature it's just being a no-brainer ever since i feel good,Default Fallback Intent,21,21,False,False,True
what are the main things i can do,Help_Home,38,38,False,False,True
please i lost my hearing aids. can you help me find them?,Help_FindMyHearingAids,32,32,False,False,True
pub setting,Cmd.MemoryChange,11,11,False,False,True
how do i know if an alert text message is sent?,Help_FallAlert,31,31,False,False,True
can you remind me,reminders.add,55,55,False,False,True
can you remind me to wash the car,reminders.add,55,55,False,False,True
when is memorial day,Default Fallback Intent,21,21,False,False,True
how to invite my son to hearshare?,Help_HearShare,34,34,False,False,True
please help with the main screen,Help_Home,38,38,False,False,True
help with intellivoice,Help_IntelliVoice,40,40,False,False,True
kid pushes the top button real quick and let it go the volume goes up,Default Fallback Intent,21,21,False,False,True
why is my left hearing aids not working,Help_SelfCheck,46,46,False,False,True
nudge me about this later,reminders.add,55,55,False,False,True
please set to school memory,Cmd.MemoryChange,11,11,False,False,True
switch memory to car,Cmd.MemoryChange,11,11,False,False,True
can you let me hear the remote mic,Cmd.StreamingStart,13,13,False,False,True
can you i don't remember i don't remember this being such a big fish,Default Fallback Intent,21,21,False,False,True
does it spot a fall and alert someone,Help_FallAlert,31,31,False,False,True
can i compare the adjustments made by my hearing specialist?,Help_RemoteProgramming,45,45,False,False,True
upkeep for my hearing aids,Help_CleanCare,21,21,False,False,True
please change to golf program,Cmd.MemoryChange,11,11,False,False,True
how do i change to another program on the aids?,Help_ChangingMemories,25,25,False,False,True
share my news with a contact by text,Cmd.SendMessage,12,12,False,False,True
how do i customize my hearing aid?,Help_Customize,27,27,False,False,True
how do i get to swimsuits,Default Fallback Intent,21,21,False,False,True
turn mute off,Cmd.VolumeUnmute,20,20,False,False,True
please locate my right hearing aid,Help_FindMyHearingAids,32,32,False,False,True
change to meeting,Cmd.MemoryChange,11,11,False,False,True
please set program to automatic,Cmd.MemoryChange,11,11,False,False,True
please decrease the loudness in my aids,Cmd.VolumeDecrease,17,17,False,False,True
please play my last message,Cmd.ListenMessage,10,10,False,False,True
can you tone change,Help_DeviceSettings,11,11,False,False,True
please turn on restaurant program,Cmd.MemoryChange,11,11,False,False,True
how do i pick a translation language,Help_Translate,50,50,False,False,True
silence,Cmd.VolumeMute,21,21,False,False,True
it's going to be our little ring bearer dude,Default Fallback Intent,21,21,False,False,True
is edge mode available on my hearing aid,Help_EdgeMode,30,30,False,False,True
can you distance from new jersey,Default Fallback Intent,21,21,False,False,True
i can't remember where my other hearing aid is,Help_FindMyHearingAids,32,32,False,False,True
can you help me get a message to someone?,Cmd.SendMessage,12,12,False,False,True
where can i find videos for the hearing aid for instructions,Default Fallback Intent,21,21,False,False,True
can you set memory to office,Cmd.MemoryChange,11,11,False,False,True
i'm off for a walk,Cmd.ActivityWalk,7,7,False,False,True
can you i don’t hear a difference when i change my balance control,Help_WiCROS,54,54,False,False,True
wireless hearing aid connection,Cmd.StreamingStart,21,21,False,False,True
molesting hearing aids to cousin,Default Fallback Intent,21,21,False,False,True
what does the engagement score mean?,Help_ThriveScore,47,47,False,False,True
drop the volume by 50%,Cmd.VolumeDecrease,17,17,False,False,True
how do i disabled mask mode?,Help_MaskMode,41,41,False,False,True
remind me to work out,reminders.add,55,55,False,False,True
is it time to change my batteries,Cmd.BatteryLevel,8,8,False,False,True
disconnect the streaming,Cmd.StreamingStop,14,14,False,False,True
should my hearing aid look like the one in the video?,Help_InsertDevice,39,39,False,False,True
mask setting,Cmd.MemoryChange,11,11,False,False,True
can you take a look at a distance,Default Fallback Intent,21,21,False,False,True
can you remind me on the 27th of august tomy flight,reminders.add,55,55,False,False,True
cros help please,Help_WiCROS,54,54,False,False,True
where's voice ai?,Help_IntelliVoice,40,40,False,False,True
can you max loudness,Cmd.VolumeIncrease,18,18,False,False,True
play it again.,Cmd.ListenMessage,10,10,False,False,True
can you stream tv,Cmd.StreamingStart,13,13,False,False,True
please change to auditorium program,Cmd.MemoryChange,11,11,False,False,True
can you stream from the microphone,Cmd.StreamingStart,13,13,False,False,True
how will i know when my audiologist adjusted my hearing aids?,Help_RemoteProgramming,45,45,False,False,True
how do i find my hearing aid?,Help_FindMyHearingAids,32,32,False,False,True
please switch to home program,Cmd.MemoryChange,11,11,False,False,True
please fisher is jacking off in the car so it's in the closet,Default Fallback Intent,21,21,False,False,True
send a message to my wife,Cmd.SendMessage,21,21,False,False,True
remaining battery,Cmd.BatteryLevel,8,8,False,False,True
help with changing programs on my hearing aid,Help_ChangingMemories,25,25,False,False,True
how do i geotag my current program?,Help_MemoryOptions,42,42,False,False,True
please set to speech memory,Cmd.MemoryChange,11,11,False,False,True
how are you,Default Fallback Intent,21,21,False,False,True
i want to hear the television in my aids,Cmd.StreamingStart,13,13,False,False,True
switch memory to number two,Cmd.MemoryChange,11,11,False,False,True
please adjustments didn't hear it in the office but i am out to your there,Default Fallback Intent,21,21,False,False,True
can you set setting to one,Cmd.MemoryChange,11,11,False,False,True
show me an overview of ipro,Help_WhatsNew,53,53,False,False,True
when do i intercept an alert?,Help_FallAlert,31,31,False,False,True
am i close to my aerobics goal,Cmd.ActivityAerobics,0,0,False,False,True
take us to see forget it we are in the car and the drone noise will cost if i have them in the road noises being amplified as well,Default Fallback Intent,21,21,False,False,True
please remind me on weekend,reminders.add,55,55,False,False,True
please show me thrive assistant help,Help_VoiceAssistant,51,51,False,False,True
explain the personalization options,Help_Customize,27,27,False,False,True
i can't find my handset ring it,Cmd.FindMyPhone,9,9,False,False,True
mute,Cmd.VolumeMute,21,21,False,False,True
how do i change programs on the aids?,Help_ChangingMemories,25,25,False,False,True
will i make it through the day,Cmd.BatteryLevel,8,8,False,False,True
connect right aid,Help_Pairing,43,43,False,False,True
tell me a joke i need to be cheered up,Default Fallback Intent,21,21,False,False,True
how do i go from one program to another,Help_ChangingMemories,25,25,False,False,True
switch to mute,Cmd.MemoryChange,11,11,False,False,True
please change program to number two,Cmd.MemoryChange,11,11,False,False,True
change the memory,Cmd.MemoryChange,11,11,False,False,True
caption the people talking,Cmd.TranscribeStart,15,15,False,False,True
what did my contacts send me,Cmd.ListenMessage,21,21,False,False,True
please schedule physical therapy appointment tomorrow morning 8:40 a.m.,reminders.add,55,55,False,False,True
show me help for transcribe,Help_Transcribe,49,49,False,False,True
how much more running do i need to do today?,Cmd.ActivityRun,4,4,False,False,True
time my bike ride,Cmd.ActivityCycle,2,2,False,False,True
please switch to everyday,Cmd.MemoryChange,11,11,False,False,True
can you change memory to restaurant,Cmd.MemoryChange,11,11,False,False,True
can you change to train program,Cmd.MemoryChange,11,11,False,False,True
how do i make lasagna,Default Fallback Intent,21,21,False,False,True
i need to connect the hearing aids to the phone,Help_Pairing,43,43,False,False,True
can you change to memory number two,Cmd.MemoryChange,11,11,False,False,True
can i go to a different hearing aid program?,Help_ChangingMemories,25,25,False,False,True
how do i change memories on the aid?,Help_ChangingMemories,25,25,False,False,True
how do i change the name of the accessory?,Help_Accessories,22,22,False,False,True
information on the activity score,Help_ThriveScore,47,47,False,False,True
please personalize my hearing aid settings,Help_MemoryOptions,42,42,False,False,True
how do i adjust my loudness of the tinnitus noise in my hearing aids?,Help_Tinnitus,48,48,False,False,True
can you help for speech to text,Help_Transcribe,49,49,False,False,True
please change memory to train,Cmd.MemoryChange,11,11,False,False,True
locate the nearest golf course,Default Fallback Intent,21,21,False,False,True
can you translate how much do i owe you in español,Cmd.TranslationStart,16,16,False,False,True
can you mavis by stupid hearing aids,Default Fallback Intent,21,21,False,False,True
use the profile for noisy places,Cmd.MemoryChange,11,11,False,False,True
will i hear what is being transcribed?,Help_Transcribe,49,49,False,False,True
